################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4505347654793035E-01 a         1     0     1     1     1
  1.1656803213346018E-01 a         2     0     1     1     2
  1.6480746217763140E-01 a         3     0     1     1     3
 -2.3654630116210135E-01 a         4     0     1     1     4
  1.5027568329648477E-01 a         5     0     1     1     5
 -8.0405451038325099E-03 a         6     0     1     1     6
  2.7705653216433523E-01 a         7     0     1     1     7
  7.6581953861357563E-02 a         8     0     1     1     8
  7.0179181940158278E-02 a         9     0     1     1     9
 -6.7024103838596055E-02 a        10     0     1     1    10
 -4.2563457633313477E-02 a        11     0     1     1    11
 -1.0144769730887809E-01 a        12     0     1     1    12
 -1.2870359288894259E-01 a        13     0     1     1    13
 -4.8686021320853305E-02 a        14     0     1     1    14
 -4.9044337231942688E-02 a        15     0     1     1    15
 -1.3147696704979678E-01 a        16     0     1     1    16
 -1.2492922608032099E-01 a        17     0     1     1    17
 -1.3723138213917427E-01 a        18     0     1     1    18
  2.8803833119435590E-01 a        19     0     1     1    19
 -1.5479752658917081E-01 a        20     0     1     1    20
  1.7211693795820512E-01 a        21     0     1     1    21
 -1.4690600130675083E-01 a        22     0     1     1    22
  2.6368138547104525E-01 a        23     0     1     1    23
 -8.7920812178054350E-02 a        24     0     1     1    24
  5.0703811016300795E-02 a        25     0     1     1    25
  1.7157551327721973E-01 a        26     0     2     1     1
 -1.0742322202992483E-01 a        27     0     2     1     2
  9.0766735100991633E-02 a        28     0     2     1     3
 -9.6825941639792940E-02 a        29     0     2     1     4
 -1.4948880750951229E-01 a        30     0     2     1     5
  8.6910078155818485E-02 a        31     0     2     1     6
 -5.7464556259860140E-02 a        32     0     2     1     7
 -1.7540245593774118E-01 a        33     0     2     1     8
  6.2162743858763671E-02 a        34     0     2     1     9
  1.9002031265101629E-01 a        35     0     2     1    10
  2.7713588749321103E-02 a        36     0     2     1    11
  2.2643495826317200E-01 a        37     0     2     1    12
 -7.3917806926950977E-02 a        38     0     2     1    13
  9.7950923598695699E-02 a        39     0     2     1    14
 -1.6203365048704715E-01 a        40     0     2     1    15
  3.7592394171481393E-02 a        41     0     2     1    16
  1.2622944529675665E-02 a        42     0     2     1    17
  1.1950472142785933E-01 a        43     0     2     1    18
 -7.7147130757601587E-02 a        44     0     2     1    19
 -8.0090914104737315E-02 a        45     0     2     1    20
  1.3123347916931319E-01 a        46     0     2     1    21
  1.8136107952688930E-02 a        47     0     2     1    22
 -2.6248075847314204E-02 a        48     0     2     1    23
 -9.1667093794900664E-02 a        49     0     2     1    24
  2.7074384511181110E-01 a        50     0     2     1    25
 -1.9783599506654337E-01 a        51     0     3     1     1
  6.7088285558467561E-02 a        52     0     3     1     2
  2.4125626317139961E-02 a        53     0     3     1     3
  1.2625042811708451E-01 a        54     0     3     1     4
 -5.5785033768632822E-02 a        55     0     3     1     5
 -1.6492110602730042E-01 a        56     0     3     1     6
 -3.7283534055632450E-01 a        57     0     3     1     7
  9.8554723170566294E-02 a        58     0     3     1     8
  1.0200683647229870E-01 a        59     0     3     1     9
  2.7342728212950133E-02 a        60     0     3     1    10
 -1.6307781502505178E-01 a        61     0     3     1    11
 -2.3776316291331737E-01 a        62     0     3     1    12
 -1.1791658248016824E-01 a        63     0     3     1    13
 -6.5649705667677041E-02 a        64     0     3     1    14
 -1.1207642433225737E-01 a        65     0     3     1    15
 -1.2062005942572387E-02 a        66     0     3     1    16
 -1.1409934443202498E-01 a        67     0     3     1    17
  2.6284562922977328E-01 a        68     0     3     1    18
  1.2041956401153615E-01 a        69     0     3     1    19
 -1.0302539409336056E-01 a        70     0     3     1    20
  1.0712489830010286E-01 a        71     0     3     1    21
 -1.7391286153822708E-01 a        72     0     3     1    22
 -5.0546485274915384E-02 a        73     0     3     1    23
 -2.5989758631064808E-01 a        74     0     3     1    24
 -1.7001505174158163E-01 a        75     0     3     1    25
  1.8988435386603393E-02 a        76     0     4     1     1
  2.5269953866481570E-01 a        77     0     4     1     2
 -7.4168826379278239E-03 a        78     0     4     1     3
  2.7542774408134577E-02 a        79     0     4     1     4
 -1.7706359581751724E-01 a        80     0     4     1     5
 -2.3265244107789740E-02 a        81     0     4     1     6
  1.4573211351116144E-01 a        82     0     4     1     7
  3.2118295104447428E-02 a        83     0     4     1     8
 -2.2492354983049145E-01 a        84     0     4     1     9
 -4.6782489806266557E-02 a        85     0     4     1    10
  7.7645007715551301E-02 a        86     0     4     1    11
 -7.9917739194647994E-02 a        87     0     4     1    12
  1.8766305138511979E-01 a        88     0     4     1    13
  1.5142191053515081E-02 a        89     0     4     1    14
  2.6130112817325368E-01 a        90     0     4     1    15
 -6.6774200162134659E-02 a        91     0     4     1    16
  1.0611181667384376E-01 a        92     0     4     1    17
  1.4715577081758907E-02 a        93     0     4     1    18
 -9.2916802790449018E-02 a        94     0     4     1    19
  4.5315466246866081E-04 a        95     0     4     1    20
 -1.5636945273618516E-01 a        96     0     4     1    21
  1.0614016396516272E-01 a        97     0     4     1    22
  5.0465836880129573E-02 a        98     0     4     1    23
  2.8135292992209593E-01 a        99     0     4     1    24
  1.4749820406895517E-01 a       100     0     4     1    25
  1.2444025844923096E-01 a       101     0     5     1     1
  8.7283881425873844E-02 a       102     0     5     1     2
  9.2749186944345405E-02 a       103     0     5     1     3
  1.8488262411561451E-01 a       104     0     5     1     4
  3.0134143651680378E-01 a       105     0     5     1     5
  9.2161269599276327E-02 a       106     0     5     1     6
 -1.4292517916803948E-01 a       107     0     5     1     7
  2.2361903833062222E-01 a       108     0     5     1     8
 -1.9514007783508336E-01 a       109     0     5     1     9
  2.2138970860886667E-01 a       110     0     5     1    10
 -9.7534019691466023E-02 a       111     0     5     1    11
  9.2095432826390725E-03 a       112     0     5     1    12
 -1.1947081426760980E-01 a       113     0     5     1    13
  2.4886550711153723E-02 a       114     0     5     1    14
 -8.7648831089569612E-02 a       115     0     5     1    15
 -1.7822999819506705E-01 a       116     0     5     1    16
 -2.1769317382822968E-02 a       117     0     5     1    17
 -9.4598562252521841E-03 a       118     0     5     1    18
  2.3651814285590142E-01 a       119     0     5     1    19
  7.0563273433471865E-02 a       120     0     5     1    20
  1.8597674063547184E-01 a       121     0     5     1    21
  1.2024438797514032E-01 a       122     0     5     1    22
  2.6686352482647435E-01 a       123     0     5     1    23
 -2.1413504927273001E-02 a       124     0     5     1    24
 -4.1285108120446862E-01 a       125     0     5     1    25
  3.7508453676750292E-02 a       126     0     6     1     1
  4.3386536517837065E-01 a       127     0     6     1     2
