################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.0055899608827967E-02   7.7111173154335952E-02   3.2857327247151166E-02   6.5352449579739406E-03
         1          2   5.7200725492379693E-02   2.1390068989224995E-01   1.5503033341700653E-01   9.4253976851504644E-03
         1          3   0.0000000000000000E+00   1.4296577634765141E-02   1.3683640046677521E-05   1.0742237112097177E-04
         1          4   0.0000000000000000E+00   2.4209450633198293E-02   2.0593265468723387E-04   7.7943581243054773E-04
         1          5   9.5149014541846849E-02   4.1742296339067880E-01   1.8962361630492769E-01   3.0615403534919160E-02
         1          6   2.2728752943612537E-01   5.2119585213983832E-01   3.5810160960083037E-01   3.3901765627598744E-02
         1          7   0.0000000000000000E+00   9.3065523522622026E-02   3.4464554867826149E-04   1.4194565389628853E-03
         1          8   0.0000000000000000E+00   1.2848681787662941E-01   2.5801836407203581E-03   7.8851455672589114E-03
         1          9   2.3961757114251703E-01   1.0425160217880849E+00   5.2902183528581981E-01   1.0721628932765144E-01
         1         10   2.2859816991187193E-01   6.1988932676111497E-01   3.9444277811609013E-01   8.0700596748862749E-02
         1         11   0.0000000000000000E+00   2.2286973383729891E-01   3.8007397924087077E-03   1.0216615874736139E-02
         1         12   0.0000000000000000E+00   2.5086369454635743E-01   1.3212077520109415E-02   3.3221923577326770E-02
         1         13   1.8113278051054715E-01   1.6793972955150365E+00   9.0078161221194808E-01   1.9367491815743926E-01
         1         14   7.3591326370815766E-02   7.9072733413862173E-01   3.7398394826886644E-01   9.9864905855320971E-02
         1         15   0.0000000000000000E+00   3.7862520756678270E-01   1.8222022413493365E-02   3.6970717881142846E-02
         1         16   0.0000000000000000E+00   3.4657647376929529E-01   2.9723848985246420E-02   6.0113051088225358E-02
         1         17   1.3553708981177939E-01   1.9541780414550691E+00   1.1017416341048343E+00   2.0797912275531055E-01
         1         18   4.4117589701607347E-02   9.9271509688714510E-01   4.8951019219835973E-01   1.1836629995460007E-01
         1         19   0.0000000000000000E+00   4.4152749410764475E-01   3.8714953294229922E-02   6.4200189749004294E-02
         1         20   0.0000000000000000E+00   3.3403086533385934E-01   3.6044059028192306E-02   5.4321176875014171E-02
         1         21   2.4126644760185667E-01   1.7778525601036799E+00   1.0526487586041475E+00   1.6970071442857559E-01
         1         22   8.2812345285832895E-02   9.5079428385383402E-01   5.5796303283191861E-01   9.8582266016585970E-02
         1         23   0.0000000000000000E+00   3.4697310029412454E-01   3.9297361726046337E-02   5.4888921711273443E-02
         1         24   0.0000000000000000E+00   2.6421251069473484E-01   3.2899324807487487E-02   4.0575908416859173E-02
         1         25   2.4492589506812396E-01   1.1852138684471742E+00   7.9281341136670336E-01   1.1175064391991932E-01
         1         26   8.0028958391058821E-02   6.9825549901781159E-01   4.1746583811961374E-01   6.6444518683462891E-02
         1         27   0.0000000000000000E+00   1.9217582608087275E-01   2.3534934695941260E-02   2.7997092939155008E-02
         1         28   0.0000000000000000E+00   1.9109347619725661E-01   2.4605342996472011E-02   2.8233877322889084E-02
