################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1155787687391825E-01 a         1     0     1     1     1
 -5.2902332002142489E-03 a         2     0     1     1     2
  3.7916397399716542E-02 a         3     0     1     1     3
 -3.7100186378826949E-02 a         4     0     1     1     4
 -1.4243326806297668E-02 a         5     0     1     1     5
 -4.4788943392762771E-02 a         6     0     1     1     6
 -3.3906600673687060E-01 a         7     0     1     1     7
 -3.2563991488871048E-02 a         8     0     1     1     8
  3.6681320689772846E-02 a         9     0     1     1     9
 -1.5946485413929423E-01 a        10     0     1     1    10
  1.4067460817031774E-01 a        11     0     1     1    11
 -1.9365080360524692E-01 a        12     0     1     1    12
  5.6983082281341933E-02 a        13     0     1     1    13
 -1.4038456934560686E-01 a        14     0     1     1    14
 -1.6972046469265631E-01 a        15     0     1     1    15
  1.1421300054018114E-01 a        16     0     1     1    16
 -9.5293040628559894E-02 a        17     0     1     1    17
  1.1380740154547135E-01 a        18     0     1     1    18
  5.1124306402678558E-02 a        19     0     1     1    19
 -1.9392629513418805E-01 a        20     0     1     1    20
  1.4639542723689072E-01 a        21     0     1     1    21
  1.2699481828452103E-01 a        22     0     1     1    22
  2.5107051555184223E-01 a        23     0     1     1    23
 -3.1378231499804995E-02 a        24     0     1     1    24
  1.6438819147196851E-01 a        25     0     1     1    25
 -4.5059323518600064E-02 a        26     0     2     1     1
  3.4922908369180326E-03 a        27     0     2     1     2
 -6.6486870034819123E-02 a        28     0     2     1     3
  1.8191730183398117E-01 a        29     0     2     1     4
 -4.7121078829173171E-02 a        30     0     2     1     5
 -1.4012699001441251E-01 a        31     0     2     1     6
 -5.9378595673635140E-03 a        32     0     2     1     7
 -2.1802754641735292E-01 a        33     0     2     1     8
  8.3679920378567321E-02 a        34     0     2     1     9
 -7.3404789441673238E-02 a        35     0     2     1    10
 -1.6869837614111441E-01 a        36     0     2     1    11
 -7.8834869483686468E-02 a        37     0     2     1    12
 -6.6143778418891713E-02 a        38     0     2     1    13
  7.9772440335414169E-02 a        39     0     2     1    14
  1.6206930103781225E-01 a        40     0     2     1    15
  3.3796555309086332E-02 a        41     0     2     1    16
 -1.4309115241253692E-01 a        42     0     2     1    17
 -1.7148573211819149E-01 a        43     0     2     1    18
  2.0098919857843439E-01 a        44     0     2     1    19
  1.8103826960587793E-01 a        45     0     2     1    20
  1.9513987989648757E-01 a        46     0     2     1    21
 -1.6802621723960073E-02 a        47     0     2     1    22
  1.5204983899614966E-03 a        48     0     2     1    23
 -2.4726923674443682E-01 a        49     0     2     1    24
 -1.1446449454807218E-01 a        50     0     2     1    25
  2.1670609533044768E-01 a        51     0     3     1     1
  9.0181446881283614E-02 a        52     0     3     1     2
  1.1214933311493742E-01 a        53     0     3     1     3
 -2.4683089162477173E-01 a        54     0     3     1     4
  4.0109598695399269E-02 a        55     0     3     1     5
 -1.9881869751881470E-01 a        56     0     3     1     6
 -2.4103225826384120E-02 a        57     0     3     1     7
 -1.9489713831552249E-01 a        58     0     3     1     8
  1.1885553058013101E-01 a        59     0     3     1     9
  6.0096406430365498E-02 a        60     0     3     1    10
  4.5344417215800500E-02 a        61     0     3     1    11
 -1.2662958119073511E-01 a        62     0     3     1    12
  1.3652609973625277E-01 a        63     0     3     1    13
 -3.0134924917748568E-01 a        64     0     3     1    14
 -1.1778255662131831E-01 a        65     0     3     1    15
  1.0137480225276162E-01 a        66     0     3     1    16
 -1.0697494645411798E-01 a        67     0     3     1    17
  9.7815638316586420E-02 a        68     0     3     1    18
 -1.1932003996444280E-02 a        69     0     3     1    19
  6.0756119800179961E-02 a        70     0     3     1    20
 -1.1809886208365364E-01 a        71     0     3     1    21
 -4.6370758617697017E-02 a        72     0     3     1    22
 -4.8401428722971797E-02 a        73     0     3     1    23
 -2.7412761978487293E-01 a        74     0     3     1    24
 -3.6413526835988608E-01 a        75     0     3     1    25
 -1.2813873022687886E-01 a        76     0     4     1     1
 -1.8263296855918565E-01 a        77     0     4     1     2
 -1.1752316264863238E-01 a        78     0     4     1     3
  1.3660682088656166E-02 a        79     0     4     1     4
  1.9839025184068285E-01 a        80     0     4     1     5
 -2.2777840775346819E-01 a        81     0     4     1     6
 -1.8044942834746572E-01 a        82     0     4     1     7
  1.3159803269123987E-01 a        83     0     4     1     8
  1.9853231052772635E-01 a        84     0     4     1     9
 -4.4867644624460731E-02 a        85     0     4     1    10
 -2.2437839472567553E-01 a        86     0     4     1    11
  2.3467993496367001E-01 a        87     0     4     1    12
  7.5605819285914408E-02 a        88     0     4     1    13
  2.2165351027390567E-01 a        89     0     4     1    14
  4.4426768991766438E-02 a        90     0     4     1    15
 -2.2868549733094910E-02 a        91     0     4     1    16
 -2.4961775401224026E-01 a        92     0     4     1    17
 -1.7622105228574217E-01 a        93     0     4     1    18
 -1.9457357996645774E-02 a        94     0     4     1    19
  6.5704687242120058E-02 a        95     0     4     1    20
  2.5886509217400749E-01 a        96     0     4     1    21
 -1.4164497467048373E-01 a        97     0     4     1    22
 -5.0088813685537768E-02 a        98     0     4     1    23
 -9.4090776999615332E-03 a        99     0     4     1    24
 -4.5994567238842523E-04 a       100     0     4     1    25
 -2.9637174499668351E-01 a       101     0     5     1     1
  3.4478243657442009E-01 a       102     0     5     1     2
 -2.4630239867071760E-01 a       103     0     5     1     3
 -7.3932255434923072E-02 a       104     0     5     1     4
 -9.9212190360559280E-04 a       105     0     5     1     5
  2.4041239991065289E-01 a       106     0     5     1     6
 -5.4953947452102303E-02 a       107     0     5     1     7
 -1.6387663738935762E-01 a       108     0     5     1     8
 -1.9375410809085850E-01 a       109     0     5     1     9
 -1.5961338425088131E-01 a       110     0     5     1    10
  2.0524977291926322E-01 a       111     0     5     1    11
 -5.2850257136960961E-02 a       112     0     5     1    12
 -1.2455387332486642E-01 a       113     0     5     1    13
  1.8506695779261556E-01 a       114     0     5     1    14
  5.1618702407857715E-02 a       115     0     5     1    15
  4.4986884172526387E-02 a       116     0     5     1    16
  9.3455690043276723E-02 a       117     0     5     1    17
 -6.3312024231532771E-01 a       118     0     5     1    18
