################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.7360502530207904E-02 a         1     0     1     1     1
 -1.2724393191463546E-01 a         2     0     1     1     2
  2.0319824886613930E-01 a         3     0     1     1     3
  1.7674003043769770E-02 a         4     0     1     1     4
  1.2194735562303458E-01 a         5     0     1     1     5
 -5.5963490625156057E-02 a         6     0     1     1     6
  3.2005618463312280E-01 a         7     0     1     1     7
 -1.9382867746345414E-02 a         8     0     1     1     8
  5.5821451343789991E-02 a         9     0     1     1     9
  7.1383967998906650E-03 a        10     0     1     1    10
  1.3065474751034717E-01 a        11     0     1     1    11
  2.2365584049726575E-01 a        12     0     1     1    12
 -7.6793204877649859E-02 a        13     0     1     1    13
 -1.4891199943702128E-02 a        14     0     1     1    14
 -6.2445539187043521E-02 a        15     0     1     1    15
  6.4861621397275623E-02 a        16     0     1     1    16
 -4.0470992336561130E-02 a        17     0     1     1    17
  2.4040505950667143E-01 a        18     0     1     1    18
  3.9287431216504853E-02 a        19     0     1     1    19
  2.2503492059361190E-02 a        20     0     1     1    20
 -2.0975241737779517E-02 a        21     0     1     1    21
  1.3790587555084788E-01 a        22     0     1     1    22
 -7.5852045429479389E-02 a        23     0     1     1    23
  1.1942171761986277E-01 a        24     0     1     1    24
  1.6557768078042484E-01 a        25     0     1     1    25
 -1.1088513937709861E-01 a        26     0     2     1     1
  2.9945245883984152E-02 a        27     0     2     1     2
  1.2674159522215545E-01 a        28     0     2     1     3
 -2.0787543977979245E-01 a        29     0     2     1     4
 -2.0578487025318726E-01 a        30     0     2     1     5
  3.2121263300337660E-01 a        31     0     2     1     6
 -1.9296621533688285E-01 a        32     0     2     1     7
 -2.2665713160555839E-01 a        33     0     2     1     8
 -2.1218567029877680E-01 a        34     0     2     1     9
  3.9914654199943965E-02 a        35     0     2     1    10
 -2.4954999306853898E-01 a        36     0     2     1    11
 -1.9681287301089601E-01 a        37     0     2     1    12
 -3.2648987906466642E-01 a        38     0     2     1    13
 -2.5426262723642519E-03 a        39     0     2     1    14
  6.9836738258781408E-02 a        40     0     2     1    15
 -2.8162455145500931E-01 a        41     0     2     1    16
  7.1075284285758975E-02 a        42     0     2     1    17
 -3.6545055028965150E-02 a        43     0     2     1    18
 -4.9345978735247480E-02 a        44     0     2     1    19
  1.8787793717120757E-01 a        45     0     2     1    20
  1.2357443917558061E-01 a        46     0     2     1    21
 -2.4910930970342293E-01 a        47     0     2     1    22
  1.1339274997973414E-01 a        48     0     2     1    23
  2.0578367967038291E-01 a        49     0     2     1    24
  2.9404813439487518E-02 a        50     0     2     1    25
  2.9719924685289029E-02 a        51     0     3     1     1
 -1.1296624329178664E-01 a        52     0     3     1     2
  1.7195130111336854E-01 a        53     0     3     1     3
 -8.2669359457380756E-02 a        54     0     3     1     4
 -9.9775234480070210E-02 a        55     0     3     1     5
  6.3045212579014742E-02 a        56     0     3     1     6
  2.1609200661445917E-03 a        57     0     3     1     7
  4.7238241851256801E-02 a        58     0     3     1     8
  2.0330963862218820E-01 a        59     0     3     1     9
  1.4711679634662141E-02 a        60     0     3     1    10
  2.3702505144481567E-01 a        61     0     3     1    11
 -1.2270962297016139E-01 a        62     0     3     1    12
 -2.9254659744384803E-01 a        63     0     3     1    13
 -6.7911651266875386E-02 a        64     0     3     1    14
 -1.0264473085565796E-01 a        65     0     3     1    15
  2.2937020410766512E-01 a        66     0     3     1    16
 -1.1228769590866117E-01 a        67     0     3     1    17
 -8.7737426578257290E-03 a        68     0     3     1    18
 -4.7715239581562360E-02 a        69     0     3     1    19
 -1.0884947794057538E-01 a        70     0     3     1    20
 -1.1526373208090591E-01 a        71     0     3     1    21
 -1.0471885315783959E-01 a        72     0     3     1    22
  5.8942515084867114E-02 a        73     0     3     1    23
  1.8915068045774117E-01 a        74     0     3     1    24
  4.8110924361008181E-02 a        75     0     3     1    25
  1.7122627912293822E-01 a        76     0     4     1     1
 -4.4508948628761695E-02 a        77     0     4     1     2
 -3.2657479507988786E-02 a        78     0     4     1     3
  2.6793252646305293E-01 a        79     0     4     1     4
 -8.9096204006702914E-02 a        80     0     4     1     5
  1.3357720800906853E-01 a        81     0     4     1     6
 -2.5801151937348544E-02 a        82     0     4     1     7
 -3.1302452858367213E-03 a        83     0     4     1     8
 -9.7732003531560280E-02 a        84     0     4     1     9
 -9.0196652539218200E-02 a        85     0     4     1    10
 -1.0296185209081513E-01 a        86     0     4     1    11
 -1.2066750024274125E-01 a        87     0     4     1    12
