################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.6849117744959439E-03 a         1     0     1     1     1
 -1.0580019223418499E-01 a         2     0     1     1     2
  6.1249352916762395E-02 a         3     0     1     1     3
  1.3235745286817115E-02 a         4     0     1     1     4
 -2.6352582772865091E-01 a         5     0     1     1     5
  1.6702977223933577E-01 a         6     0     1     1     6
 -2.4776756062730415E-02 a         7     0     1     1     7
  2.2040381165481124E-01 a         8     0     1     1     8
  9.8143265693254600E-02 a         9     0     1     1     9
  1.5201339662971339E-01 a        10     0     1     1    10
 -5.1942288358235111E-02 a        11     0     1     1    11
 -1.1123660224649158E-01 a        12     0     1     1    12
 -2.0824133048948529E-01 a        13     0     1     1    13
  3.3269491682474492E-02 a        14     0     1     1    14
  3.9347499889412448E-02 a        15     0     1     1    15
 -6.2761146350094388E-02 a        16     0     1     1    16
  6.6147513794539300E-02 a        17     0     1     1    17
 -1.9079368305016796E-02 a        18     0     1     1    18
 -6.2228019621158410E-03 a        19     0     1     1    19
 -1.7978327103492678E-01 a        20     0     1     1    20
 -3.1549706864452472E-02 a        21     0     1     1    21
  1.3350921783298962E-02 a        22     0     1     1    22
 -2.7706533077489931E-01 a        23     0     1     1    23
  2.7543658273647284E-02 a        24     0     1     1    24
 -1.3088149354284645E-01 a        25     0     1     1    25
 -4.6817362052701865E-02 a        26     0     2     1     1
  8.3121226373629564E-02 a        27     0     2     1     2
  4.4886404629363483E-02 a        28     0     2     1     3
 -5.3688526208255011E-02 a        29     0     2     1     4
 -1.4428334701399981E-01 a        30     0     2     1     5
  6.6123126171664617E-02 a        31     0     2     1     6
 -2.2123512964847575E-02 a        32     0     2     1     7
  1.1333775916780743E-01 a        33     0     2     1     8
 -1.6832622742992041E-02 a        34     0     2     1     9
 -4.4851976419454188E-02 a        35     0     2     1    10
  1.2758675915902700E-02 a        36     0     2     1    11
 -5.8706784767851135E-02 a        37     0     2     1    12
 -3.1175734262887951E-02 a        38     0     2     1    13
 -1.5152196338721804E-01 a        39     0     2     1    14
  2.2624383354133731E-01 a        40     0     2     1    15
  9.4234810496818491E-02 a        41     0     2     1    16
  7.5953198679035147E-02 a        42     0     2     1    17
  7.7302053974368082E-02 a        43     0     2     1    18
  9.5869296359653799E-02 a        44     0     2     1    19
  8.9351475886054091E-02 a        45     0     2     1    20
  7.5500942893809597E-02 a        46     0     2     1    21
  1.2405017096751519E-01 a        47     0     2     1    22
  7.8380339609536942E-02 a        48     0     2     1    23
 -2.0501548734753014E-01 a        49     0     2     1    24
  1.1411232520002813E-01 a        50     0     2     1    25
  6.0613415345922628E-02 a        51     0     3     1     1
 -1.1080487432663379E-01 a        52     0     3     1     2
 -7.0790893653294024E-02 a        53     0     3     1     3
 -1.4623283972314825E-02 a        54     0     3     1     4
  5.6385283035443066E-02 a        55     0     3     1     5
  1.1944309625038368E-02 a        56     0     3     1     6
  1.2218588508876288E-01 a        57     0     3     1     7
  5.0882208153329528E-02 a        58     0     3     1     8
 -4.4788933087132735E-02 a        59     0     3     1     9
  1.1162293241798210E-01 a        60     0     3     1    10
  3.6364454795167778E-01 a        61     0     3     1    11
  3.8842688608850318E-02 a        62     0     3     1    12
  5.2620997933214418E-02 a        63     0     3     1    13
  2.8442482007383091E-01 a        64     0     3     1    14
  1.4162072240928017E-01 a        65     0     3     1    15
 -4.8111210252467861E-02 a        66     0     3     1    16
  7.2803518659861708E-03 a        67     0     3     1    17
 -1.1811443432381567E-01 a        68     0     3     1    18
 -1.3092005706209459E-01 a        69     0     3     1    19
 -3.0366857315342263E-02 a        70     0     3     1    20
  2.0363302652312454E-01 a        71     0     3     1    21
  1.4793826413050279E-01 a        72     0     3     1    22
  1.9995930718181182E-01 a        73     0     3     1    23
 -4.3516710969600900E-02 a        74     0     3     1    24
 -3.0604888370959465E-02 a        75     0     3     1    25
  1.6491492657404280E-01 a        76     0     4     1     1
  1.0835465647194564E-01 a        77     0     4     1     2
 -1.9449411443348472E-01 a        78     0     4     1     3
 -3.7278215412453963E-02 a        79     0     4     1     4
  1.2777189195099414E-01 a        80     0     4     1     5
 -1.3207491796174972E-01 a        81     0     4     1     6
  2.3754749803708161E-02 a        82     0     4     1     7
  6.3609564666886526E-02 a        83     0     4     1     8
  2.1987573997860929E-02 a        84     0     4     1     9
  2.1614660960251891E-01 a        85     0     4     1    10
  5.6669685947124210E-02 a        86     0     4     1    11
 -9.5005994844578438E-03 a        87     0     4     1    12
  5.1604282704143564E-02 a        88     0     4     1    13
  1.2224107839642329E-01 a        89     0     4     1    14
  4.5393671949984379E-02 a        90     0     4     1    15
  1.5754478977040828E-01 a        91     0     4     1    16
 -7.0216803977550118E-02 a        92     0     4     1    17
  2.9912193802160748E-02 a        93     0     4     1    18
 -8.5389226339341248E-02 a        94     0     4     1    19
  2.0038393417339265E-01 a        95     0     4     1    20
 -5.2038979040517344E-03 a        96     0     4     1    21
  1.4531359053629284E-01 a        97     0     4     1    22
 -2.5745376443558315E-01 a        98     0     4     1    23
 -2.8518641117299320E-01 a        99     0     4     1    24
  9.4243511990706838E-02 a       100     0     4     1    25
  6.8232456702752145E-02 a       101     0     5     1     1
 -8.5226186134241336E-02 a       102     0     5     1     2
 -3.3121381308012537E-01 a       103     0     5     1     3
  1.4324407888934962E-01 a       104     0     5     1     4
 -1.1275691382603477E-01 a       105     0     5     1     5
 -2.1895810315961053E-01 a       106     0     5     1     6
  9.0483606463832966E-02 a       107     0     5     1     7
  8.8564536481155726E-02 a       108     0     5     1     8
 -6.2652130605639908E-03 a       109     0     5     1     9
  4.4881936363638407E-04 a       110     0     5     1    10
 -3.0627345546521612E-01 a       111     0     5     1    11
  1.1501961170575782E-01 a       112     0     5     1    12
 -6.2169893043978935E-02 a       113     0     5     1    13
 -3.8804166793342226E-02 a       114     0     5     1    14
 -1.2815766246234525E-01 a       115     0     5     1    15
  2.4061519177731777E-01 a       116     0     5     1    16
 -6.2508913377714984E-02 a       117     0     5     1    17
 -2.4045422894626392E-01 a       118     0     5     1    18
 -1.0430443132985212E-01 a       119     0     5     1    19
  1.4385865678785317E-01 a       120     0     5     1    20
 -4.2041989226382387E-02 a       121     0     5     1    21
