################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5949526579573917E-01 a         1     0     1     1     1
  1.2154515160320113E-02 a         2     0     1     1     2
  9.1539810077061759E-02 a         3     0     1     1     3
 -5.3508096407046797E-02 a         4     0     1     1     4
  2.0148191015799102E-01 a         5     0     1     1     5
 -8.3026078568664129E-03 a         6     0     1     1     6
 -4.4137765306826983E-02 a         7     0     1     1     7
 -1.2033946236288454E-02 a         8     0     1     1     8
  4.7043684524225214E-02 a         9     0     1     1     9
  7.6315671805409158E-02 a        10     0     1     1    10
 -1.0874274872251663E-01 a        11     0     1     1    11
 -1.4697024529904806E-01 a        12     0     1     1    12
  3.8621991457197739E-02 a        13     0     1     1    13
 -8.8676508044819191E-02 a        14     0     1     1    14
  2.9022336279518546E-02 a        15     0     1     1    15
  1.8707341449604076E-01 a        16     0     1     1    16
 -1.2648993654901280E-02 a        17     0     1     1    17
 -5.1927146245883501E-02 a        18     0     1     1    18
  1.2508646284566824E-01 a        19     0     1     1    19
 -3.2346194552948848E-02 a        20     0     1     1    20
  9.3808718284904197E-02 a        21     0     1     1    21
 -2.9038304933725809E-02 a        22     0     1     1    22
  2.7535572754023685E-02 a        23     0     1     1    23
  8.3850381351530473E-02 a        24     0     1     1    24
  1.1375064295794957E-01 a        25     0     1     1    25
 -1.5080401073431754E-01 a        26     0     2     1     1
 -9.6464211575664996E-02 a        27     0     2     1     2
  7.2098569124139963E-02 a        28     0     2     1     3
 -1.7231766369232418E-02 a        29     0     2     1     4
 -7.3041681178474781E-03 a        30     0     2     1     5
 -5.2845075504218353E-02 a        31     0     2     1     6
 -1.5654654977412083E-01 a        32     0     2     1     7
  1.5537570559677627E-01 a        33     0     2     1     8
  6.6068834215346223E-03 a        34     0     2     1     9
 -2.5294165526371082E-01 a        35     0     2     1    10
  5.2328804388856558E-02 a        36     0     2     1    11
 -3.1461452146359586E-01 a        37     0     2     1    12
 -5.9196302298562134E-03 a        38     0     2     1    13
  2.1553727176328966E-01 a        39     0     2     1    14
  7.5466107562250830E-03 a        40     0     2     1    15
 -1.9919153827721697E-01 a        41     0     2     1    16
  8.2099742070149473E-02 a        42     0     2     1    17
 -1.3701402914987068E-01 a        43     0     2     1    18
  8.2455117496322894E-02 a        44     0     2     1    19
  1.8214435894459838E-01 a        45     0     2     1    20
  3.8938423693070018E-02 a        46     0     2     1    21
 -1.6412483747399800E-01 a        47     0     2     1    22
  1.1106203925754728E-01 a        48     0     2     1    23
  3.5494168078281756E-02 a        49     0     2     1    24
  1.8993297083291888E-01 a        50     0     2     1    25
 -3.1538843591879133E-02 a        51     0     3     1     1
 -8.1075567281758659E-02 a        52     0     3     1     2
 -1.7465039329357315E-01 a        53     0     3     1     3
 -4.4650573093259323E-02 a        54     0     3     1     4
  1.2056811139057706E-01 a        55     0     3     1     5
  3.7894289303754651E-02 a        56     0     3     1     6
 -1.6720389379789333E-01 a        57     0     3     1     7
  1.2767900513908823E-01 a        58     0     3     1     8
  1.5238437630468235E-01 a        59     0     3     1     9
 -2.9554577816069794E-02 a        60     0     3     1    10
  1.0856584446566947E-01 a        61     0     3     1    11
  1.6875355911516896E-01 a        62     0     3     1    12
  7.9536440377631121E-02 a        63     0     3     1    13
  1.1864765231256012E-01 a        64     0     3     1    14
 -6.0166910396103564E-02 a        65     0     3     1    15
 -1.4466134159955432E-01 a        66     0     3     1    16
 -1.3570074226971923E-01 a        67     0     3     1    17
 -4.8284436262206541E-02 a        68     0     3     1    18
  8.1688573339457074E-02 a        69     0     3     1    19
  8.3044994226052868E-02 a        70     0     3     1    20
 -8.5157034086585801E-02 a        71     0     3     1    21
 -5.2079775882092803E-02 a        72     0     3     1    22
  2.0930705208749609E-01 a        73     0     3     1    23
  1.6251595418890544E-01 a        74     0     3     1    24
 -9.9709939965893224E-02 a        75     0     3     1    25
 -1.4090732723093071E-02 a        76     0     4     1     1
  1.0443314001868453E-01 a        77     0     4     1     2
  1.2216412171908966E-01 a        78     0     4     1     3
  2.3240474585295597E-02 a        79     0     4     1     4
  1.2350432544114788E-01 a        80     0     4     1     5
 -3.2449267456153980E-02 a        81     0     4     1     6
 -1.5896928133428895E-01 a        82     0     4     1     7
 -3.7717953167057276E-02 a        83     0     4     1     8
 -3.4782886667871112E-02 a        84     0     4     1     9
 -6.0593088308486372E-02 a        85     0     4     1    10
  6.0406318807328933E-02 a        86     0     4     1    11
  5.5534655127934547E-02 a        87     0     4     1    12
 -1.0151662871003264E-01 a        88     0     4     1    13
 -1.8052176935205926E-02 a        89     0     4     1    14
  4.5746830925292463E-02 a        90     0     4     1    15
 -7.1465017878486583E-03 a        91     0     4     1    16
 -1.4134214502729361E-01 a        92     0     4     1    17
  1.3428620227678792E-01 a        93     0     4     1    18
 -9.5061212579935619E-02 a        94     0     4     1    19
  8.5618925322329439E-02 a        95     0     4     1    20
  4.9732423509428282E-02 a        96     0     4     1    21
  4.0755106324574866E-02 a        97     0     4     1    22
  8.2581167743227643E-02 a        98     0     4     1    23
  1.2682505739213148E-01 a        99     0     4     1    24
 -3.6684199637591799E-02 a       100     0     4     1    25
  1.4552741980095182E-01 a       101     0     5     1     1
  8.7273806394939535E-02 a       102     0     5     1     2
  1.7637810464375026E-01 a       103     0     5     1     3
  5.4964092283528901E-02 a       104     0     5     1     4
 -2.1751791662300798E-01 a       105     0     5     1     5
 -1.3138780815574252E-01 a       106     0     5     1     6
 -2.8591792547291387E-02 a       107     0     5     1     7
 -1.3252977097418109E-01 a       108     0     5     1     8
 -6.0232750652956203E-03 a       109     0     5     1     9
 -7.3648724488838538E-02 a       110     0     5     1    10
  9.3796278869332742E-02 a       111     0     5     1    11
  2.9682623657718915E-01 a       112     0     5     1    12
 -1.0628924594490557E-01 a       113     0     5     1    13
  2.3649223198560798E-01 a       114     0     5     1    14
 -1.6529349901124538E-01 a       115     0     5     1    15
  1.1651850273144361E-01 a       116     0     5     1    16
 -1.4588559022639799E-01 a       117     0     5     1    17
  5.2938133077812415E-02 a       118     0     5     1    18
  7.2295379640106391E-02 a       119     0     5     1    19
  4.4796830033082609E-02 a       120     0     5     1    20
 -6.6150477304549704E-02 a       121     0     5     1    21
 -1.5515048195972062E-01 a       122     0     5     1    22
 -1.3937146457336030E-01 a       123     0     5     1    23
 -2.0138532263214887E-01 a       124     0     5     1    24
 -2.5255992667144911E-01 a       125     0     5     1    25
 -1.5083147826825330E-01 a       126     0     6     1     1
 -1.5133305413507658E-01 a       127     0     6     1     2
 -4.7238994511126689E-02 a       128     0     6     1     3
 -1.5713812684382628E-01 a       129     0     6     1     4
  1.8523849274309698E-01 a       130     0     6     1     5
 -1.5125454897572527E-01 a       131     0     6     1     6
  6.2593961949210061E-02 a       132     0     6     1     7
  8.5543963017001550E-04 a       133     0     6     1     8
 -1.6037268799301608E-02 a       134     0     6     1     9
  1.6632900556938865E-01 a       135     0     6     1    10
  3.5885098509416270E-02 a       136     0     6     1    11
 -7.5251429502972284E-02 a       137     0     6     1    12
  1.5963236259906766E-01 a       138     0     6     1    13
  1.2041524258857973E-01 a       139     0     6     1    14
 -1.1719096102579377E-01 a       140     0     6     1    15
  1.2664382184372250E-01 a       141     0     6     1    16
 -5.1508446837446188E-02 a       142     0     6     1    17
 -1.2444022516673517E-01 a       143     0     6     1    18
 -2.5253129067182178E-01 a       144     0     6     1    19
  6.3131993632359995E-02 a       145     0     6     1    20
 -8.1738603327577639E-02 a       146     0     6     1    21
 -9.8390730494593640E-02 a       147     0     6     1    22
 -1.5853266257679779E-01 a       148     0     6     1    23
 -1.3517995902641544E-01 a       149     0     6     1    24
  1.1563201859258430E-01 a       150     0     6     1    25
 -1.4825029708622828E-01 a       151     0     7     1     1
  1.4706710047033403E-01 a       152     0     7     1     2
  1.2588432137177710E-02 a       153     0     7     1     3
  1.3124777648484717E-01 a       154     0     7     1     4
 -1.0000579650137070E-01 a       155     0     7     1     5
  6.5777940581645364E-02 a       156     0     7     1     6
 -2.9825582835951516E-02 a       157     0     7     1     7
  6.6098109442753863E-02 a       158     0     7     1     8
 -1.8056740718023870E-01 a       159     0     7     1     9
 -4.7510092887531278E-03 a       160     0     7     1    10
 -9.2211659927829037E-02 a       161     0     7     1    11
 -1.1784129972795172E-01 a       162     0     7     1    12
  1.1189986844377796E-01 a       163     0     7     1    13
 -8.1461549155668625E-02 a       164     0     7     1    14
  8.6583424140462301E-02 a       165     0     7     1    15
 -1.2416638643859450E-01 a       166     0     7     1    16
  5.1804875756053866E-02 a       167     0     7     1    17
  9.7741500871172060E-02 a       168     0     7     1    18
  1.3986520948191203E-01 a       169     0     7     1    19
 -1.0417022910396191E-01 a       170     0     7     1    20
 -1.0019971706848026E-01 a       171     0     7     1    21
  1.5969210093028530E-01 a       172     0     7     1    22
 -1.6357056380075832E-01 a       173     0     7     1    23
  2.5527375888216790E-02 a       174     0     7     1    24
  1.7496480925052096E-02 a       175     0     7     1    25
 -2.3320086888305936E-02 a       176     0     8     1     1
 -2.4723018558071913E-01 a       177     0     8     1     2
 -7.8084632536078669E-02 a       178     0     8     1     3
 -3.0447216322460308E-02 a       179     0     8     1     4
  1.6888174424930630E-01 a       180     0     8     1     5
 -2.1920186742889779E-02 a       181     0     8     1     6
 -8.3200679625978019E-02 a       182     0     8     1     7
  4.5961959139185167E-02 a       183     0     8     1     8
 -6.7377624995624233E-02 a       184     0     8     1     9
 -4.6207993496078695E-02 a       185     0     8     1    10
 -3.3005855589271785E-02 a       186     0     8     1    11
 -4.0113684197579394E-02 a       187     0     8     1    12
  1.1824943821604404E-01 a       188     0     8     1    13
  9.3152995364443159E-02 a       189     0     8     1    14
 -1.6164157494675391E-01 a       190     0     8     1    15
  1.2929186450171146E-01 a       191     0     8     1    16
  1.3896758140326465E-01 a       192     0     8     1    17
 -2.3321050347234609E-01 a       193     0     8     1    18
 -4.6281736456029697E-03 a       194     0     8     1    19
 -2.3764683363255745E-01 a       195     0     8     1    20
 -1.8571775233326532E-01 a       196     0     8     1    21
 -1.0723187628713660E-01 a       197     0     8     1    22
  2.2994710845911143E-01 a       198     0     8     1    23
 -1.1323350961534252E-01 a       199     0     8     1    24
  7.6062245668907277E-02 a       200     0     8     1    25
 -2.0125056850472434E-01 a       201     0     9     1     1
 -2.6258942207458913E-01 a       202     0     9     1     2
  1.0554497316047630E-01 a       203     0     9     1     3
  1.6360720646202534E-01 a       204     0     9     1     4
  1.8407234501732428E-01 a       205     0     9     1     5
 -1.3153921550192122E-02 a       206     0     9     1     6
 -1.0125617308806809E-01 a       207     0     9     1     7
 -5.3695817029349904E-02 a       208     0     9     1     8
 -4.0962994773117246E-02 a       209     0     9     1     9
  2.5749344038174843E-03 a       210     0     9     1    10
 -5.2081400853725465E-02 a       211     0     9     1    11
 -9.9045255545294059E-02 a       212     0     9     1    12
 -2.0602991226056397E-02 a       213     0     9     1    13
 -1.1570217081086175E-01 a       214     0     9     1    14
  3.4746141914402763E-02 a       215     0     9     1    15
 -9.8190422900863300E-03 a       216     0     9     1    16
  1.9132594929917219E-02 a       217     0     9     1    17
  2.8422195545075918E-01 a       218     0     9     1    18
  9.1209568146941051E-03 a       219     0     9     1    19
  2.0047135005275724E-01 a       220     0     9     1    20
 -5.7126266281175314E-02 a       221     0     9     1    21
  3.6442950943174279E-01 a       222     0     9     1    22
 -1.8744733478820946E-01 a       223     0     9     1    23
  1.4666629717829091E-01 a       224     0     9     1    24
  6.9853807349110134E-02 a       225     0     9     1    25
 -1.9357732755062004E-01 a       226     0    10     1     1
  1.5576866655467908E-01 a       227     0    10     1     2
 -1.0433268443769576E-01 a       228     0    10     1     3
  2.1963175586665890E-01 a       229     0    10     1     4
  9.0095531606691759E-02 a       230     0    10     1     5
  9.1089145606319560E-02 a       231     0    10     1     6
  1.6149068887622781E-01 a       232     0    10     1     7
 -8.0190784542819180E-02 a       233     0    10     1     8
 -3.1902003873154776E-02 a       234     0    10     1     9
 -9.5947362366508082E-02 a       235     0    10     1    10
 -1.0697215115791882E-01 a       236     0    10     1    11
  6.4797586831345788E-02 a       237     0    10     1    12
 -1.9185661243118080E-01 a       238     0    10     1    13
 -1.8932215433525881E-01 a       239     0    10     1    14
  4.9094438651943167E-03 a       240     0    10     1    15
  1.5027190734534585E-01 a       241     0    10     1    16
 -7.5835507278387990E-02 a       242     0    10     1    17
  1.0357389538548206E-01 a       243     0    10     1    18
  1.3654807243880915E-01 a       244     0    10     1    19
  6.3502440092324877E-02 a       245     0    10     1    20
  1.3201495022385848E-01 a       246     0    10     1    21
  1.2524092332489045E-01 a       247     0    10     1    22
 -2.1996288288658292E-01 a       248     0    10     1    23
  2.0553644368866220E-01 a       249     0    10     1    24
  5.0832718781532601E-02 a       250     0    10     1    25
  5.7204680558201743E-02 a       251     0    11     1     1
 -1.6184572230897998E-01 a       252     0    11     1     2
  2.1957013287592209E-01 a       253     0    11     1     3
 -1.7804677586264811E-01 a       254     0    11     1     4
  1.2706361959179935E-01 a       255     0    11     1     5
  7.5076511147257885E-02 a       256     0    11     1     6
 -1.7840970409543150E-01 a       257     0    11     1     7
 -1.6152860886771475E-01 a       258     0    11     1     8
 -2.2163154318780279E-01 a       259     0    11     1     9
  1.3508174887589305E-01 a       260     0    11     1    10
 -1.2473177117465344E-01 a       261     0    11     1    11
 -2.0040403303308949E-02 a       262     0    11     1    12
 -9.3037154771521442E-05 a       263     0    11     1    13
  3.9626390453174683E-02 a       264     0    11     1    14
  2.3823861528713561E-02 a       265     0    11     1    15
  2.8180055304259394E-02 a       266     0    11     1    16
 -9.9922415497207456E-02 a       267     0    11     1    17
 -1.5234578903138165E-02 a       268     0    11     1    18
  1.7282746073515295E-01 a       269     0    11     1    19
 -2.5305745241765421E-02 a       270     0    11     1    20
 -1.3322314747546882E-01 a       271     0    11     1    21
 -1.0617745254499920E-01 a       272     0    11     1    22
  1.0328742372928486E-01 a       273     0    11     1    23
 -7.9798921755429478E-02 a       274     0    11     1    24
 -3.4473259056162144E-02 a       275     0    11     1    25
  7.9814639624248340E-02 a       276     0    12     1     1
  6.8940393488426510E-02 a       277     0    12     1     2
 -1.0641264646602475E-01 a       278     0    12     1     3
 -3.3277894404594048E-02 a       279     0    12     1     4
 -2.8853500493801643E-01 a       280     0    12     1     5
  1.6504901011501366E-01 a       281     0    12     1     6
  2.7274405217762682E-01 a       282     0    12     1     7
  1.2163687880698418E-01 a       283     0    12     1     8
