################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7152934949687391E-01 a         1     0     1     1     1
  4.7475928210981962E-02 a         2     0     1     1     2
  1.1275488722753289E-01 a         3     0     1     1     3
 -1.3954150693839359E-01 a         4     0     1     1     4
  1.5430170767695667E-01 a         5     0     1     1     5
  7.1767803950068638E-03 a         6     0     1     1     6
  1.5771430069911188E-01 a         7     0     1     1     7
 -4.5980579566111596E-02 a         8     0     1     1     8
  6.3532285627377144E-02 a         9     0     1     1     9
  5.4334540002864209E-03 a        10     0     1     1    10
  8.5294465939801140E-02 a        11     0     1     1    11
 -1.4091585974704660E-01 a        12     0     1     1    12
 -2.8016549865575668E-01 a        13     0     1     1    13
 -1.0686664475775379E-01 a        14     0     1     1    14
 -7.9231947168584935E-02 a        15     0     1     1    15
 -7.1192676858040871E-02 a        16     0     1     1    16
 -9.5425160078454030E-02 a        17     0     1     1    17
 -1.5712286757759986E-01 a        18     0     1     1    18
  2.2991629646183354E-01 a        19     0     1     1    19
 -1.1784709781835820E-01 a        20     0     1     1    20
  2.0727197031032113E-01 a        21     0     1     1    21
  6.1199746100501539E-03 a        22     0     1     1    22
  2.6761087152665958E-01 a        23     0     1     1    23
 -5.4152842535677578E-02 a        24     0     1     1    24
  1.8953927543137114E-01 a        25     0     1     1    25
  2.2842110672163840E-01 a        26     0     2     1     1
 -1.6329519313759391E-01 a        27     0     2     1     2
  1.0231265410762892E-01 a        28     0     2     1     3
 -1.9869748291381822E-01 a        29     0     2     1     4
 -1.1139161108660775E-01 a        30     0     2     1     5
  2.1368596815384350E-01 a        31     0     2     1     6
 -3.3399613889540996E-03 a        32     0     2     1     7
 -1.7400103884350293E-01 a        33     0     2     1     8
 -9.8010032980918427E-02 a        34     0     2     1     9
  1.2797790443412502E-01 a        35     0     2     1    10
 -6.6855431657902916E-03 a        36     0     2     1    11
  1.9910492091538076E-01 a        37     0     2     1    12
  8.5879396174854492E-03 a        38     0     2     1    13
  5.4653767603642121E-02 a        39     0     2     1    14
 -1.1324683303874498E-01 a        40     0     2     1    15
 -3.3076023352510801E-02 a        41     0     2     1    16
 -6.6788019028624801E-02 a        42     0     2     1    17
  2.5399574266109243E-01 a        43     0     2     1    18
 -5.7905857004510911E-02 a        44     0     2     1    19
 -9.2446617938581888E-02 a        45     0     2     1    20
  9.8969012594569486E-02 a        46     0     2     1    21
 -1.4416524265380690E-01 a        47     0     2     1    22
 -9.1277305377517715E-02 a        48     0     2     1    23
 -5.2151577672844118E-02 a        49     0     2     1    24
  2.0194389498114274E-01 a        50     0     2     1    25
 -2.0054074221732673E-01 a        51     0     3     1     1
  3.0037654674595144E-02 a        52     0     3     1     2
 -3.9035851154097891E-02 a        53     0     3     1     3
  1.5601006396624881E-01 a        54     0     3     1     4
 -5.7404575450415399E-02 a        55     0     3     1     5
 -5.0830129575522999E-02 a        56     0     3     1     6
 -2.1547530636202789E-01 a        57     0     3     1     7
  1.2484246689031696E-01 a        58     0     3     1     8
  1.0322183826360518E-01 a        59     0     3     1     9
 -1.2903290546734317E-02 a        60     0     3     1    10
 -1.6336187083717962E-01 a        61     0     3     1    11
 -3.2930722657158101E-01 a        62     0     3     1    12
 -8.8458059364886779E-02 a        63     0     3     1    13
 -9.3998919190741020E-02 a        64     0     3     1    14
 -8.1771247940627095E-02 a        65     0     3     1    15
