################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.6199981947578602E-03 a         1     0     1     1     1
 -1.3517714630129340E-01 a         2     0     1     1     2
  2.7962808527638557E-02 a         3     0     1     1     3
  1.5192224841097796E-01 a         4     0     1     1     4
  1.0014337007072220E-01 a         5     0     1     1     5
  2.0124966737311845E-01 a         6     0     1     1     6
 -7.9610289093202183E-03 a         7     0     1     1     7
  2.3341101239951756E-01 a         8     0     1     1     8
 -1.3009827585246070E-01 a         9     0     1     1     9
  1.9938788357142381E-01 a        10     0     1     1    10
 -1.7035588311856867E-01 a        11     0     1     1    11
 -8.2542666976289439E-02 a        12     0     1     1    12
  1.1248278322785302E-01 a        13     0     1     1    13
  6.1452890616996964E-02 a        14     0     1     1    14
 -1.4883194289241326E-02 a        15     0     1     1    15
  1.1744914911705245E-01 a        16     0     1     1    16
  1.5607829905897205E-01 a        17     0     1     1    17
  9.9784269455582317E-02 a        18     0     1     1    18
  4.3977534833523825E-02 a        19     0     1     1    19
 -3.7986976214079593E-02 a        20     0     1     1    20
 -1.1684124571317091E-01 a        21     0     1     1    21
  5.2533668580845114E-02 a        22     0     1     1    22
  3.2451756239951272E-02 a        23     0     1     1    23
  4.4522901036635545E-02 a        24     0     1     1    24
  2.1442850818337651E-02 a        25     0     1     1    25
  1.4140966570153274E-01 a        26     0     2     1     1
 -9.1293243378021582E-02 a        27     0     2     1     2
  7.1069442197622774E-03 a        28     0     2     1     3
 -6.5638612735507709E-02 a        29     0     2     1     4
 -2.2845839469894783E-02 a        30     0     2     1     5
 -4.1510097327473038E-02 a        31     0     2     1     6
  1.8041938644548300E-01 a        32     0     2     1     7
  4.2475494313912260E-02 a        33     0     2     1     8
 -6.6201755608709459E-03 a        34     0     2     1     9
  9.4232690921163778E-02 a        35     0     2     1    10
 -1.7764853746247397E-01 a        36     0     2     1    11
 -9.1604735596592587E-03 a        37     0     2     1    12
  1.1972437954424266E-01 a        38     0     2     1    13
 -5.6697486487948506E-02 a        39     0     2     1    14
  1.1696520809148497E-01 a        40     0     2     1    15
  2.1512955354277092E-03 a        41     0     2     1    16
 -2.0571343872720398E-02 a        42     0     2     1    17
 -2.0725140600420050E-01 a        43     0     2     1    18
  6.8228088948813756E-02 a        44     0     2     1    19
 -1.4596247405091312E-01 a        45     0     2     1    20
  1.3390909748347064E-02 a        46     0     2     1    21
  2.4744681429364440E-01 a        47     0     2     1    22
 -2.1974918294940460E-01 a        48     0     2     1    23
 -8.7276534081863311E-02 a        49     0     2     1    24
 -1.5129306594029845E-01 a        50     0     2     1    25
 -1.0308761478559764E-01 a        51     0     3     1     1
 -1.7313194013079705E-01 a        52     0     3     1     2
 -1.2756373869201051E-01 a        53     0     3     1     3
  2.3257466158525923E-02 a        54     0     3     1     4
 -1.0302490013288874E-02 a        55     0     3     1     5
 -3.5613936855456922E-03 a        56     0     3     1     6
  7.6294745124776159E-02 a        57     0     3     1     7
  3.1291268849443513E-02 a        58     0     3     1     8
 -1.8913565348257366E-01 a        59     0     3     1     9
 -3.8849613901942459E-01 a        60     0     3     1    10
  1.1242969588647844E-01 a        61     0     3     1    11
  5.4501614582169594E-02 a        62     0     3     1    12
 -3.8007473358465729E-02 a        63     0     3     1    13
  2.1070977793120343E-01 a        64     0     3     1    14
 -1.8307438236866991E-01 a        65     0     3     1    15
 -1.9264534791483884E-01 a        66     0     3     1    16
  1.1333834133687344E-01 a        67     0     3     1    17
  2.3049389314160990E-01 a        68     0     3     1    18
 -2.1849943128621552E-01 a        69     0     3     1    19
  5.1870576034137743E-02 a        70     0     3     1    20
  1.1301761334273425E-01 a        71     0     3     1    21
 -5.3441955566859489E-02 a        72     0     3     1    22
 -4.6501048400773140E-02 a        73     0     3     1    23
  4.3185054767010053E-02 a        74     0     3     1    24
 -1.1619816603389144E-01 a        75     0     3     1    25
 -3.1426024718938163E-02 a        76     0     4     1     1
 -1.2680952330483025E-01 a        77     0     4     1     2
  2.6653897232520318E-01 a        78     0     4     1     3
  8.2920322714946842E-02 a        79     0     4     1     4
  1.4526209405307186E-01 a        80     0     4     1     5
 -1.9468787829078490E-01 a        81     0     4     1     6
 -1.2853343622677138E-01 a        82     0     4     1     7
  2.3946222152631449E-01 a        83     0     4     1     8
 -7.9769623475217058E-02 a        84     0     4     1     9
 -3.9003783802675968E-02 a        85     0     4     1    10
 -1.1186882222913523E-01 a        86     0     4     1    11
  4.5101326081075990E-02 a        87     0     4     1    12
  1.1809652528044245E-01 a        88     0     4     1    13
  9.4660523526855389E-02 a        89     0     4     1    14
  1.3106969706509677E-01 a        90     0     4     1    15
 -5.5950723860711510E-02 a        91     0     4     1    16
  2.4386756057392520E-01 a        92     0     4     1    17
 -1.0197156399596342E-01 a        93     0     4     1    18
 -2.2919068526346528E-03 a        94     0     4     1    19
 -6.8901998925166227E-02 a        95     0     4     1    20
  7.0657940529155236E-02 a        96     0     4     1    21
 -2.6390583500302239E-01 a        97     0     4     1    22
 -1.7263442434470544E-01 a        98     0     4     1    23
 -6.7146896533316167E-02 a        99     0     4     1    24
 -2.0131558083872322E-01 a       100     0     4     1    25
  7.4412207490000770E-02 a       101     0     5     1     1
  7.7160880019242151E-02 a       102     0     5     1     2
 -9.4737591690107731E-02 a       103     0     5     1     3
 -1.5650028566852583E-01 a       104     0     5     1     4
 -6.2709095039917020E-02 a       105     0     5     1     5
 -7.3050446601803820E-02 a       106     0     5     1     6
  6.9068430860465935E-02 a       107     0     5     1     7
 -1.0214993971703071E-01 a       108     0     5     1     8
  6.4071061084824840E-02 a       109     0     5     1     9
 -2.9312837947661166E-02 a       110     0     5     1    10
  2.2399558286990170E-01 a       111     0     5     1    11
  2.1493044695906649E-01 a       112     0     5     1    12
 -1.0869801289463127E-01 a       113     0     5     1    13
 -8.0400034289054165E-02 a       114     0     5     1    14
  3.9568127917784988E-02 a       115     0     5     1    15
 -8.9093820517842218E-02 a       116     0     5     1    16
  1.0794798267311931E-01 a       117     0     5     1    17
 -1.5068613460252420E-01 a       118     0     5     1    18
  7.9613570811779173E-03 a       119     0     5     1    19
 -1.6849900202889984E-01 a       120     0     5     1    20
 -3.4175855962174463E-02 a       121     0     5     1    21
 -1.2233349392487067E-01 a       122     0     5     1    22
  2.4133828001575625E-01 a       123     0     5     1    23
  1.2643837493479310E-01 a       124     0     5     1    24
  5.8335578097272106E-02 a       125     0     5     1    25
 -1.8504566135374542E-01 a       126     0     6     1     1
 -1.4854648150513633E-01 a       127     0     6     1     2
 -3.2073454668134646E-02 a       128     0     6     1     3
  4.7613327576029332E-02 a       129     0     6     1     4
  2.4884894122811467E-02 a       130     0     6     1     5
  7.9789459065041840E-02 a       131     0     6     1     6
  1.3971854408901610E-01 a       132     0     6     1     7
  2.1077242143062622E-01 a       133     0     6     1     8
  9.9824008490565316E-02 a       134     0     6     1     9
 -1.0520232054918913E-01 a       135     0     6     1    10
  1.5323478164195220E-01 a       136     0     6     1    11
  9.2087074120956056E-02 a       137     0     6     1    12
  3.0936426092018455E-02 a       138     0     6     1    13
  1.1999428563404528E-01 a       139     0     6     1    14
 -2.1340935017561627E-01 a       140     0     6     1    15
  1.5854286977928772E-01 a       141     0     6     1    16
 -1.7919808445742016E-01 a       142     0     6     1    17
  2.2547700494007016E-02 a       143     0     6     1    18
 -5.9839579151719370E-02 a       144     0     6     1    19
  2.2480435872935015E-01 a       145     0     6     1    20
  1.0751161141020162E-01 a       146     0     6     1    21
 -1.6594539060041066E-01 a       147     0     6     1    22
 -9.9110388421715559E-02 a       148     0     6     1    23
 -1.6805288653439079E-01 a       149     0     6     1    24
  1.4163831535863733E-01 a       150     0     6     1    25
 -7.5175079081601412E-02 a       151     0     7     1     1
 -7.1824433121549860E-02 a       152     0     7     1     2
  2.2510656916460337E-01 a       153     0     7     1     3
 -5.3439815250096070E-02 a       154     0     7     1     4
  1.0239744723629679E-01 a       155     0     7     1     5
  1.5598933101314080E-01 a       156     0     7     1     6
 -2.6680891489313946E-01 a       157     0     7     1     7
 -6.3953465433929449E-02 a       158     0     7     1     8
  2.1163947351927265E-01 a       159     0     7     1     9
 -1.7680534198562171E-02 a       160     0     7     1    10
 -1.5644769027491712E-01 a       161     0     7     1    11
 -3.4398066434495826E-02 a       162     0     7     1    12
  6.4592597348930109E-02 a       163     0     7     1    13
 -9.6506707409480669E-02 a       164     0     7     1    14
  1.6540758997276520E-01 a       165     0     7     1    15
  2.4205793001786846E-01 a       166     0     7     1    16
 -8.4553410405666815E-02 a       167     0     7     1    17
 -1.0238898250432616E-03 a       168     0     7     1    18
  8.3547026026380838E-02 a       169     0     7     1    19
 -8.3606901039197504E-02 a       170     0     7     1    20
 -2.1004488807520183E-01 a       171     0     7     1    21
  1.3159948362018042E-01 a       172     0     7     1    22
 -9.6734072664477255E-02 a       173     0     7     1    23
  9.1374781975288422E-02 a       174     0     7     1    24
  3.1776264702487414E-02 a       175     0     7     1    25
 -2.2048347558135181E-01 a       176     0     8     1     1
  2.3354284514569779E-01 a       177     0     8     1     2
 -2.3985589891120676E-01 a       178     0     8     1     3
  8.0590890408251764E-02 a       179     0     8     1     4
 -6.3042246624755979E-02 a       180     0     8     1     5
  8.0295082221114755E-02 a       181     0     8     1     6
 -1.6753291197206002E-02 a       182     0     8     1     7
  1.6615707210990707E-01 a       183     0     8     1     8
 -2.1433039668760381E-01 a       184     0     8     1     9
  1.9865614956647770E-01 a       185     0     8     1    10
 -2.4053289369412642E-01 a       186     0     8     1    11
 -1.0920776259476708E-01 a       187     0     8     1    12
  5.9679198447096786E-02 a       188     0     8     1    13
 -1.0802685795142511E-01 a       189     0     8     1    14
 -8.8522117776886788E-02 a       190     0     8     1    15
  5.2049134267594846E-02 a       191     0     8     1    16
 -1.5219327624380402E-01 a       192     0     8     1    17
  1.7450976149133152E-01 a       193     0     8     1    18
 -7.1456649003494729E-02 a       194     0     8     1    19
  1.5814828582712520E-01 a       195     0     8     1    20
  1.1948425543599333E-02 a       196     0     8     1    21
 -1.5114163368025854E-01 a       197     0     8     1    22
  4.4284930746898994E-02 a       198     0     8     1    23
  1.9752061947924662E-01 a       199     0     8     1    24
 -7.4940000671960008E-02 a       200     0     8     1    25
  9.7835404763291795E-03 a       201     0     9     1     1
  8.4992124315312903E-02 a       202     0     9     1     2
  5.9017433003437182E-02 a       203     0     9     1     3
  1.1522964881771604E-01 a       204     0     9     1     4
  2.1515133606718628E-01 a       205     0     9     1     5
 -2.7576223548275398E-02 a       206     0     9     1     6
  3.5471005617885881E-01 a       207     0     9     1     7
 -5.3993951878985071E-02 a       208     0     9     1     8
 -1.4339908768727344E-01 a       209     0     9     1     9
 -3.4878623759276278E-02 a       210     0     9     1    10
 -1.8512990763742260E-01 a       211     0     9     1    11
  1.8967027663780653E-01 a       212     0     9     1    12
 -2.4461291053188697E-01 a       213     0     9     1    13
  2.6258982236038810E-02 a       214     0     9     1    14
  2.4199495163417635E-02 a       215     0     9     1    15
  1.3984481286211695E-01 a       216     0     9     1    16
  1.7016754566110803E-01 a       217     0     9     1    17
 -1.2719274382635745E-01 a       218     0     9     1    18
  3.0349511328949136E-01 a       219     0     9     1    19
 -4.2594715960422602E-01 a       220     0     9     1    20
  4.5017663929843306E-02 a       221     0     9     1    21
  3.0603039167076729E-01 a       222     0     9     1    22
  2.8314026943945546E-02 a       223     0     9     1    23
  9.8019219725420006E-02 a       224     0     9     1    24
 -1.0424692208041491E-02 a       225     0     9     1    25
  1.3201880547275172E-01 a       226     0    10     1     1
 -1.2767729790393553E-01 a       227     0    10     1     2
  1.8228075282991343E-01 a       228     0    10     1     3
 -1.0382818631113715E-01 a       229     0    10     1     4
  1.9965917189662180E-01 a       230     0    10     1     5
 -5.3890923662398130E-02 a       231     0    10     1     6
 -4.3360879719593221E-01 a       232     0    10     1     7
 -1.4687046865614814E-01 a       233     0    10     1     8
 -1.4935952862610960E-01 a       234     0    10     1     9
  2.0669742842564182E-01 a       235     0    10     1    10
  2.2505419939161342E-01 a       236     0    10     1    11
 -2.1966451672224496E-02 a       237     0    10     1    12
  1.7795925232344498E-01 a       238     0    10     1    13
 -1.3978299215853668E-01 a       239     0    10     1    14
 -1.5298867720568712E-01 a       240     0    10     1    15
 -1.1477876938950786E-01 a       241     0    10     1    16
  5.3807259736906629E-02 a       242     0    10     1    17
  9.6566981413272288E-02 a       243     0    10     1    18
  5.0066919996346403E-02 a       244     0    10     1    19
 -3.6029434281272296E-02 a       245     0    10     1    20
  6.5351697765254041E-02 a       246     0    10     1    21
  1.5999424287548214E-01 a       247     0    10     1    22
 -2.4074629680443246E-01 a       248     0    10     1    23
 -3.1269695083411660E-02 a       249     0    10     1    24
 -1.8758217596578750E-01 a       250     0    10     1    25
  8.9968356267951678E-04 a       251     0    11     1     1
 -7.1975656763272250E-02 a       252     0    11     1     2
 -1.8967788241482461E-01 a       253     0    11     1     3
 -2.4909794362902415E-01 a       254     0    11     1     4
 -1.8515822229684134E-01 a       255     0    11     1     5
 -1.6327041014869764E-01 a       256     0    11     1     6
  1.6905666609501002E-01 a       257     0    11     1     7
 -1.2924082611945620E-01 a       258     0    11     1     8
 -2.5635258571022757E-01 a       259     0    11     1     9
  1.5960920273800172E-01 a       260     0    11     1    10
  2.7936201984755493E-01 a       261     0    11     1    11
 -4.2819622882441032E-02 a       262     0    11     1    12
 -6.3187213905851108E-02 a       263     0    11     1    13
 -4.1618320481633476E-02 a       264     0    11     1    14
 -2.0467760629415044E-01 a       265     0    11     1    15
 -1.4104582572327254E-01 a       266     0    11     1    16
 -4.9495308484621735E-03 a       267     0    11     1    17
 -1.2152153486108642E-01 a       268     0    11     1    18
  1.1064260312770529E-02 a       269     0    11     1    19
 -1.2158251029231691E-01 a       270     0    11     1    20
  2.6096557471531917E-01 a       271     0    11     1    21
  2.2989604318399068E-01 a       272     0    11     1    22
  2.7152668155517051E-01 a       273     0    11     1    23
  6.2829283115503842E-02 a       274     0    11     1    24
 -5.0345536457052878E-02 a       275     0    11     1    25
  2.2976468532098662E-01 a       276     0    12     1     1
 -2.5568249438148166E-01 a       277     0    12     1     2
  1.8214543190774608E-02 a       278     0    12     1     3
 -1.5449383897286378E-01 a       279     0    12     1     4
