################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   9.3073656550365976E-03   7.7111173154335952E-02   3.2977018794988565E-02   6.3879145700654538E-03
         1          2   1.0356192563329362E-01   2.0508608158884370E-01   1.5572342911046913E-01   9.3280208828161251E-03
         1          3   0.0000000000000000E+00   1.4296577634765141E-02   1.2373468436621910E-05   1.1589896060702784E-04
         1          4   0.0000000000000000E+00   2.1083174573925261E-02   2.1208058458020018E-04   7.7855864821444062E-04
         1          5   7.4616859104098709E-02   4.1742309230933239E-01   1.8841585750661075E-01   2.9349761657877040E-02
         1          6   2.8190504229993113E-01   5.2719802232910862E-01   3.5714295408438246E-01   3.3006394038136357E-02
         1          7   0.0000000000000000E+00   9.3065523522622026E-02   3.2057050466263086E-04   1.3230069096156381E-03
         1          8   0.0000000000000000E+00   1.1825866811104732E-01   2.6563732791514620E-03   7.9943922298389893E-03
         1          9   2.3003150944954845E-01   1.2349230493768366E+00   5.2098543202350711E-01   1.0407559220834264E-01
         1         10   2.3187076452982172E-01   7.1088023626443653E-01   3.9016466898667357E-01   8.0026665098281255E-02
         1         11   0.0000000000000000E+00   2.2286973383729891E-01   3.6562043005265018E-03   9.3830415308381009E-03
         1         12   0.0000000000000000E+00   2.4964723562246458E-01   1.3544416417744634E-02   3.3918919377737458E-02
         1         13   1.8113278051054715E-01   1.8950642482813391E+00   8.8594641062239254E-01   1.9106623564768210E-01
         1         14   7.3857861825487425E-02   7.9255721529025613E-01   3.6828278651276580E-01   1.0002808153149267E-01
         1         15   0.0000000000000000E+00   3.1866006928864832E-01   1.7981524121999444E-02   3.5465294538486992E-02
         1         16   0.0000000000000000E+00   3.6931917199536124E-01   3.0159060052201866E-02   6.1929279602677280E-02
         1         17   1.3553708981177939E-01   1.9189749013318220E+00   1.0863699260433171E+00   2.0679156005733321E-01
         1         18   4.4117589701607347E-02   9.8464992827547237E-01   4.8141595376801555E-01   1.1856012513272318E-01
         1         19   0.0000000000000000E+00   4.4152749410764475E-01   3.8749576518050041E-02   6.3596824670405491E-02
         1         20   0.0000000000000000E+00   3.9345503040467522E-01   3.5772833724364489E-02   5.6624108517613188E-02
         1         21   2.4126644760185667E-01   1.7778525601036799E+00   1.0378105317650590E+00   1.7019419971729075E-01
         1         22   7.1771125900709984E-02   9.2541521585547659E-01   5.4944900264359309E-01   9.9094116990947972E-02
         1         23   0.0000000000000000E+00   3.4697310029412454E-01   3.9443244546053746E-02   5.5174434294182235E-02
         1         24   0.0000000000000000E+00   2.6421251069473484E-01   3.1865182088618507E-02   4.1109795053443553E-02
         1         25   2.4492589506812396E-01   1.1828780646467565E+00   7.8166621524404978E-01   1.1219464838886051E-01
         1         26   8.0028958391058821E-02   6.9825549901781159E-01   4.1205960598081975E-01   6.7313174092897637E-02
         1         27   0.0000000000000000E+00   2.0032120759673644E-01   2.3470018993701717E-02   2.8269712584863792E-02
         1         28   0.0000000000000000E+00   1.9109347619725661E-01   2.3916353580945689E-02   2.8366653671580078E-02
         1         29   1.8385526628877738E-01   6.8447891953753093E-01   4.3299232127001719E-01   5.9318099090067251E-02
         1         30   4.2159286383257236E-02   3.5095229728298516E-01   2.1401137648515720E-01   3.4943675716447811E-02
         1         31   0.0000000000000000E+00   1.0566455902462266E-01   1.1473184860282469E-02   1.3249260164731411E-02
         1         32   0.0000000000000000E+00   1.0613418331868382E-01   1.3286159838006992E-02   1.4882168371200955E-02
         1         33   7.7436052383793808E-02   2.5503107554919152E-01   1.6694965678036747E-01   2.2783777870651851E-02
         1         34   2.3845509623914990E-02   1.4597230837702665E-01   8.1077213963160449E-02   1.3794573439974176E-02
         1         35   0.0000000000000000E+00   4.8324967386538985E-02   4.7993059707687122E-03   5.4764601511835525E-03
         1         36   0.0000000000000000E+00   3.9566663174674867E-02   5.1199115081906419E-03   5.6457704817368271E-03
         1         37   1.6677530917366224E-02   6.4569304841643235E-02   4.1749975398036356E-02   5.9067607998850623E-03
         1         38   5.1364293471407550E-03   3.7194459401014519E-02   2.0603204674534466E-02   3.8380178674758620E-03
         1         39   0.0000000000000000E+00   1.0990316899278790E-02   1.3237357817724809E-03   1.4759141178794339E-03
         1         40   0.0000000000000000E+00   1.1406319433384562E-02   1.2803262768847170E-03   1.4245292961983609E-03
         1         41   7.1414554204253728E-04   9.8476709916462304E-02   2.1546587415934241E-02   7.8173338225124862E-03
         1         42   5.9506863830469650E-03   1.2885824109246743E-01   4.0551843769357297E-02   1.2305480297074907E-02
         1         43   0.0000000000000000E+00   1.3678187334478738E-02   7.8653300980866165E-04   1.3174522747075828E-03
         1         44   0.0000000000000000E+00   3.2121638471764809E-02   1.2394855672935466E-03   2.4873517778786582E-03
         1         45   3.8774028967327199E-04   4.2097784699791918E-02   1.3750352157220879E-02   5.6799675619579283E-03
         1         46   0.0000000000000000E+00   1.7135314117890117E-02   7.0700178861568216E-04   1.3203924663559507E-03
         1         47   0.0000000000000000E+00   2.2162236336937802E-02   1.2299252733212404E-03   2.4419115501915778E-03
         1         48   0.0000000000000000E+00   8.5172648598586366E-04   8.7420012741881985E-06   3.7682572066105027E-05
         1         49   0.0000000000000000E+00   3.3427726999505380E-03   3.3491635640927055E-05   1.2982847119803379E-04
         1         50   0.0000000000000000E+00   1.5608262808652247E-03   5.5406960441918299E-06   3.7584899899669483E-05
         1         51   2.8628120145804603E-03   2.1394845846887983E-01   5.6854954104046944E-02   1.7348081441776884E-02
         1         52   4.7352411778073804E-02   3.5461409303173519E-01   1.4927320055593638E-01   3.0964697191942194E-02
         1         53   0.0000000000000000E+00   2.0168934765946819E-02   1.7297542226654976E-03   2.5568503341843914E-03
         1         54   0.0000000000000000E+00   5.2126844707605521E-02   3.0733507019352155E-03   4.9216371624372134E-03
         1         55   7.9698069823608394E-04   3.7041175325116894E-02   1.3142763838084938E-02   3.9679402642817897E-03
         1         56   0.0000000000000000E+00   2.9790314072044972E-02   2.3735608135583763E-03   3.8582303930692814E-03
         1         57   0.0000000000000000E+00   2.0142897103493606E-02   8.5874236275291799E-04   1.2335980243629952E-03
         1         58   0.0000000000000000E+00   1.2886289559014314E-03   1.4541170028852143E-05   6.3719429226703379E-05
         1         59   0.0000000000000000E+00   5.6617149822840275E-03   8.5357934303801551E-05   2.9735708263873276E-04
         1         60   0.0000000000000000E+00   1.1871220680541659E-03   6.1525724413350418E-06   3.7494338909933345E-05
         1         61   7.6091963438352020E-05   1.8749802930800169E-02   4.0409798650515296E-03   1.8261066953939120E-03
         1         62   2.1666130873418941E-04   3.8572970263964709E-02   1.1339951912023968E-02   5.2020408999541457E-03
         1         63   0.0000000000000000E+00   6.1000054981429960E-03   7.5151793467509307E-05   1.6350470869552864E-04
         1         64   0.0000000000000000E+00   9.5156385868437037E-03   3.2061312068146203E-04   7.8388426933635909E-04
         1         65   2.1552525866100566E-05   2.2271083823653309E-02   7.2356469191479211E-03   4.3314912238731152E-03
         1         66   0.0000000000000000E+00   1.3012781655583373E-02   6.9261910316324070E-05   1.9355080092179922E-04
         1         67   0.0000000000000000E+00   1.4508198308145892E-02   7.5364994101678382E-04   1.8127795088712243E-03
         1         68   0.0000000000000000E+00   1.9722283629013080E-04   7.9405474722344137E-07   4.2953130213187282E-06
         1         69   0.0000000000000000E+00   6.0662804568203867E-04   3.9730810457513901E-06   1.9943328184982749E-05
         1         70   0.0000000000000000E+00   3.6280146313456672E-04   1.0165739047014421E-06   8.4767294106292864E-06
         1         71   1.8754737284558728E-03   1.0435242693426010E-01   3.1818014705989751E-02   8.9564624402122418E-03
         1         72   3.4248441769477285E-02   2.2317649371682105E-01   1.0421517043577869E-01   2.0733597649676333E-02
         1         73   0.0000000000000000E+00   7.6019761803257689E-03   7.1008215285790191E-04   9.8557623921946428E-04
         1         74   0.0000000000000000E+00   2.6095107895760760E-02   1.7266639050537093E-03   2.5843863718397965E-03
         1         75   2.8776483035668405E-04   1.5610652147083556E-02   5.4345398774331699E-03   1.6308307863143316E-03
         1         76   0.0000000000000000E+00   1.4913523462529865E-02   1.3038599793173508E-03   2.0648426813123636E-03
         1         77   0.0000000000000000E+00   5.5454213216856200E-03   3.1602435362166340E-04   4.2365201237782755E-04
         1         78   0.0000000000000000E+00   4.0497839111063212E-04   4.2805040064738474E-06   1.9826229641842935E-05
         1         79   0.0000000000000000E+00   2.7488232483885524E-03   4.0623178613489451E-05   1.3585257229315476E-04
         1         80   0.0000000000000000E+00   2.5817404615447912E-04   1.4141303412286489E-06   8.1616225709511166E-06
         2          1   2.3312190840720576E-01   3.9129868704370196E-01   3.1144685822093826E-01   1.4612105409192977E-02
         2          2   5.6886328173614069E-08   1.3294247794534047E-03   1.4628423737338866E-04   1.0529225611554717E-04
         2          3   0.0000000000000000E+00   8.7310201200547898E-03   1.1104971068497741E-04   2.8997261426457719E-04
         2          4   0.0000000000000000E+00   2.4857936504766768E-04   1.6671854589728378E-06   6.2069251960650345E-06
         2          5   5.8869048293482917E-01   9.8997774646950243E-01   7.1428590816876503E-01   4.8509695567370135E-02
         2          6   7.9478843334650723E-06   2.4957653976084057E-02   4.4421811671951639E-03   2.5131860220910622E-03
         2          7   0.0000000000000000E+00   6.7848499140709118E-02   2.0072768467190613E-03   4.5179357443726762E-03
         2          8   0.0000000000000000E+00   6.0816698368469438E-03   7.6776480600749395E-05   2.2179810376514607E-04
         2          9   4.7605908786188711E-01   1.4512624046956752E+00   7.8032933797334714E-01   1.2571508146070479E-01
         2         10   4.1775704849352294E-04   1.9897090426747646E-01   5.3275341419928686E-02   2.2779649331068692E-02
         2         11   0.0000000000000000E+00   2.0128878218100063E-01   1.4211663536044363E-02   2.8330324730035633E-02
         2         12   0.0000000000000000E+00   5.6239138935562746E-02   1.3939490389466773E-03   3.2077383109741509E-03
         2         13   1.6053013655728379E-01   1.6190173202095666E+00   7.3656557302553161E-01   1.7532174969218856E-01
         2         14   8.3559778679621072E-03   6.7606152829928379E-01   2.6069935359971352E-01   7.9231936315094703E-02
         2         15   0.0000000000000000E+00   4.3321624149930704E-01   4.0314975375656578E-02   7.2567352344060268E-02
         2         16   0.0000000000000000E+00   2.3558292509706713E-01   1.0110961785219159E-02   1.8982108672519003E-02
         2         17   1.3274923918582832E-01   1.7831642438780420E+00   9.6283190753603110E-01   2.0359303511900434E-01
         2         18   6.4878123831784915E-02   1.0107673699360160E+00   5.5682992871033754E-01   1.1768672270476321E-01
         2         19   0.0000000000000000E+00   5.0560730702105150E-01   4.8945655468188569E-02   7.9580319343764833E-02
         2         20   0.0000000000000000E+00   3.8073115209700786E-01   3.0159950008617584E-02   4.7019957595918781E-02
         2         21   3.2796265878826797E-01   1.7514153684821301E+00   1.0988980052871866E+00   1.7761567472519607E-01
         2         22   1.4671954378410518E-01   9.9072273257412347E-01   5.9768516140162320E-01   1.0602719712031447E-01
         2         23   0.0000000000000000E+00   2.9860596164604508E-01   3.2264356021390737E-02   4.4728488467990338E-02
         2         24   0.0000000000000000E+00   3.3133203672997319E-01   3.9663324818086168E-02   5.1878827718394006E-02
         2         25   3.3783506242941913E-01   1.2611943566469088E+00   8.2411921196163929E-01   1.1414929225576623E-01
         2         26   1.2657163846955233E-01   6.5538074742794827E-01   4.0662528577270290E-01   6.6901423192721979E-02
         2         27   0.0000000000000000E+00   1.9865839884788516E-01   1.9612477398944596E-02   2.4428503786497913E-02
         2         28   0.0000000000000000E+00   1.8752819334852064E-01   2.7297512817378966E-02   3.0633057367098770E-02
         2         29   1.8132467395103602E-01   6.2043532709087679E-01   4.2802275297031434E-01   5.7253009815497448E-02
         2         30   6.7529897873736672E-02   3.4240074742212057E-01   2.1029496302640668E-01   3.6116376711121376E-02
         2         31   0.0000000000000000E+00   1.0599282521770613E-01   1.1999713972782109E-02   1.4155674604245133E-02
         2         32   0.0000000000000000E+00   8.8059640268121631E-02   1.3247383737253472E-02   1.4057949387656291E-02
         2         33   6.3942514622931462E-02   2.5365270302303378E-01   1.6215442792632093E-01   2.2392770009193548E-02
         2         34   2.6387997869495736E-02   1.3699651481397473E-01   8.0487492488923632E-02   1.5256024222253034E-02
         2         35   0.0000000000000000E+00   3.7810890618724724E-02   5.0957470921698562E-03   5.6530714270284143E-03
         2         36   0.0000000000000000E+00   4.1818427212633805E-02   5.1844058891511741E-03   5.6967443068691205E-03
         2         37   1.6707895119664758E-02   6.5118359839182252E-02   4.1206409349068926E-02   5.9796323437925208E-03
         2         38   4.5510615195292039E-03   3.6763622118111142E-02   2.0153605640469644E-02   3.9324522633739827E-03
         2         39   0.0000000000000000E+00   1.2460034491210440E-02   1.2975203024367331E-03   1.4299994101326827E-03
         2         40   0.0000000000000000E+00   1.3027187966297565E-02   1.3576755698885925E-03   1.5391632985402321E-03
         2         41   2.9515411598935674E-02   2.1829386447138971E-01   8.3195553298865882E-02   1.9649924467387062E-02
         2         42   1.5113523675569860E-03   7.6106480126562709E-02   2.0638859766182467E-02   6.5872245721993695E-03
         2         43   0.0000000000000000E+00   3.0676250831383863E-02   3.0790288611642356E-03   5.2863697791317929E-03
         2         44   0.0000000000000000E+00   2.2304366917945868E-02   8.1149466635704328E-04   1.3257539656305192E-03
         2         45   1.6818911287669779E-05   6.6149116801068478E-03   1.3026845999415438E-03   5.8977479308319780E-04
         2         46   0.0000000000000000E+00   5.6072464977240406E-03   3.9087730658733921E-04   6.7161067443690032E-04
         2         47   0.0000000000000000E+00   4.0138255614856101E-03   1.1205714784279878E-04   1.7205432814171393E-04
         2         48   0.0000000000000000E+00   2.0495475095802761E-03   2.4100934408427908E-05   1.0633309195880458E-04
         2         49   0.0000000000000000E+00   1.6136945338973523E-03   2.9845920212860718E-05   8.9266038632161701E-05
         2         50   0.0000000000000000E+00   5.1198322853822115E-04   2.2722146008973713E-06   1.4721940363657943E-05
         2         51   2.2520046829944837E-02   3.2347870163254078E-01   1.0662949102642781E-01   2.5643022527046942E-02
         2         52   7.2818942886322046E-03   2.5467851933840258E-01   8.6933604215040788E-02   2.4193890335164312E-02
         2         53   0.0000000000000000E+00   3.1523612053416757E-02   3.0820963431838822E-03   4.7062299831189605E-03
