################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.9157203882482320E-02 a         1     0     1     1     1
  1.3021921061456002E-01 a         2     0     1     1     2
  2.8552346350721758E-01 a         3     0     1     1     3
  3.5425773792230408E-01 a         4     0     1     1     4
 -1.8733037951286011E-01 a         5     0     1     1     5
  4.9107749623302110E-02 a         6     0     1     1     6
  2.8936004953701622E-02 a         7     0     1     1     7
  7.9520211085740616E-02 a         8     0     1     1     8
  1.6479051640189030E-01 a         9     0     1     1     9
 -4.3923184415781823E-02 a        10     0     1     1    10
  6.1755645443666830E-02 a        11     0     1     1    11
 -1.8628919614750314E-01 a        12     0     1     1    12
  1.2297455472024564E-01 a        13     0     1     1    13
 -1.2394180520680448E-01 a        14     0     1     1    14
  2.3395656551878443E-02 a        15     0     1     1    15
 -2.0775931999972705E-01 a        16     0     1     1    16
 -9.1755531514959313E-02 a        17     0     1     1    17
 -4.6622579867414450E-02 a        18     0     1     1    18
  1.6179153516907599E-01 a        19     0     1     1    19
 -2.7388999052945649E-02 a        20     0     1     1    20
 -5.3075888303579587E-02 a        21     0     1     1    21
 -2.7882087870287616E-02 a        22     0     1     1    22
  1.9391014689626191E-02 a        23     0     1     1    23
 -1.9020455209630879E-01 a        24     0     1     1    24
  1.5847372400143253E-01 a        25     0     1     1    25
  1.7908023152149799E-01 a        26     0     2     1     1
  1.2603295040891688E-01 a        27     0     2     1     2
  9.9933332687935111E-02 a        28     0     2     1     3
  1.6106639561546926E-01 a        29     0     2     1     4
  2.4254998581312644E-02 a        30     0     2     1     5
 -7.4055880138216068E-02 a        31     0     2     1     6
 -1.8242193449295793E-01 a        32     0     2     1     7
 -1.5365900546318204E-01 a        33     0     2     1     8
 -3.5162444763142654E-02 a        34     0     2     1     9
  5.3034231738678543E-02 a        35     0     2     1    10
  3.3287202373502789E-01 a        36     0     2     1    11
 -3.0638240979476622E-02 a        37     0     2     1    12
 -1.4843766044594614E-03 a        38     0     2     1    13
  6.7754228732178623E-02 a        39     0     2     1    14
 -4.6124892700965363E-02 a        40     0     2     1    15
  7.7315504965243045E-02 a        41     0     2     1    16
  1.2660670877001212E-01 a        42     0     2     1    17
 -2.0229613279740430E-01 a        43     0     2     1    18
 -1.6151668752112275E-01 a        44     0     2     1    19
 -1.2868150926946691E-02 a        45     0     2     1    20
  4.2227465549000587E-02 a        46     0     2     1    21
 -1.4169005599329007E-01 a        47     0     2     1    22
 -1.3730097998979462E-01 a        48     0     2     1    23
  8.0912202559188986E-03 a        49     0     2     1    24
  2.4874239776807801E-02 a        50     0     2     1    25
  4.9966854973504064E-03 a        51     0     3     1     1
  1.7732225447449074E-01 a        52     0     3     1     2
  3.2787072800533446E-02 a        53     0     3     1     3
 -1.3915352118223157E-01 a        54     0     3     1     4
  5.3354557424871565E-02 a        55     0     3     1     5
  2.4823760749407918E-02 a        56     0     3     1     6
  4.2488077681786911E-02 a        57     0     3     1     7
 -8.9620842744592144E-02 a        58     0     3     1     8
 -6.2393083522234119E-02 a        59     0     3     1     9
  1.6737110834942720E-01 a        60     0     3     1    10
  7.3268235244856206E-02 a        61     0     3     1    11
 -9.0455381218442585E-02 a        62     0     3     1    12
 -1.1787263643320064E-01 a        63     0     3     1    13
 -1.7992655464554275E-01 a        64     0     3     1    14
  4.8670403272515393E-02 a        65     0     3     1    15
 -1.5242006293146870E-01 a        66     0     3     1    16
  1.3896485904438213E-01 a        67     0     3     1    17
  2.1768859400516671E-01 a        68     0     3     1    18
 -2.3380405903271917E-01 a        69     0     3     1    19
  1.8019932363262742E-01 a        70     0     3     1    20
 -1.6257095653607154E-01 a        71     0     3     1    21
 -9.3687099570683552E-02 a        72     0     3     1    22
  7.4009679448006543E-02 a        73     0     3     1    23
  7.5600887952720505E-02 a        74     0     3     1    24
 -3.2288453620339150E-02 a        75     0     3     1    25
 -1.3524637402964027E-01 a        76     0     4     1     1
  7.4813580464711579E-02 a        77     0     4     1     2
  2.0723662280062094E-01 a        78     0     4     1     3
 -9.0115838816075045E-02 a        79     0     4     1     4
 -4.6179401785522094E-02 a        80     0     4     1     5
  1.8359402206627543E-01 a        81     0     4     1     6
  1.5023430380738100E-02 a        82     0     4     1     7
  3.9213187285474640E-02 a        83     0     4     1     8
 -1.8752221474016767E-01 a        84     0     4     1     9
  1.0467896440512185E-01 a        85     0     4     1    10
  2.8750416748419331E-02 a        86     0     4     1    11
  1.8541480991126802E-01 a        87     0     4     1    12
  9.9578369733319877E-02 a        88     0     4     1    13
 -1.6908030167916857E-01 a        89     0     4     1    14
  2.1055785322703021E-02 a        90     0     4     1    15
 -1.1916598568859162E-01 a        91     0     4     1    16
  2.0308221711317027E-02 a        92     0     4     1    17
