################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   8.5614354845692398E-03   1.0300045939356600E-01   3.2312495845918394E-02   6.3897621447096724E-03
         1          2   7.2483574868800180E-02   2.2703756108159223E-01   1.5404695635221471E-01   9.3633093218428894E-03
         1          3   0.0000000000000000E+00   1.3745639214836484E-02   1.2601612073781580E-05   9.1616830445558523E-05
         1          4   0.0000000000000000E+00   2.1083174573925261E-02   2.0191738740809613E-04   7.3574471365380541E-04
         1          5   7.2634768860389998E-02   4.2224736616281316E-01   1.8970407423572636E-01   3.0796609557654165E-02
         1          6   2.6252422147028992E-01   5.2813406127538576E-01   3.5944707090571404E-01   3.4620716901341130E-02
         1          7   0.0000000000000000E+00   9.0792542123535894E-02   3.3269319672998046E-04   1.2584272815387078E-03
         1          8   0.0000000000000000E+00   1.1825866811104732E-01   2.5663039022911106E-03   7.6999385658049870E-03
         1          9   2.1903892008487316E-01   1.0906571982459292E+00   5.3757642590939969E-01   1.1006222478422421E-01
         1         10   2.2275852308621705E-01   6.2416315498450425E-01   4.0000508244075067E-01   8.2169271145834277E-02
         1         11   0.0000000000000000E+00   2.2061799932277204E-01   3.7866161142617381E-03   9.4780354664064058E-03
         1         12   0.0000000000000000E+00   2.4402568733101646E-01   1.3235256087549096E-02   3.3106435797815380E-02
         1         13   1.8113278051054715E-01   1.6793972955150365E+00   9.2067379599404586E-01   1.9962093944272202E-01
         1         14   7.3857861825487425E-02   7.8760149358920828E-01   3.8020054421808802E-01   1.0178006304550920E-01
         1         15   0.0000000000000000E+00   3.3825547928631083E-01   1.8454867400174445E-02   3.5680336724343495E-02
         1         16   0.0000000000000000E+00   3.4657647376929529E-01   2.9783794938078544E-02   6.0543516735835412E-02
         1         17   1.3553708981177939E-01   1.9244468056329584E+00   1.1264201643654075E+00   2.1781732193816961E-01
         1         18   4.4117589701607347E-02   1.0107477764321167E+00   5.0105507647986491E-01   1.2248802582534467E-01
         1         19   0.0000000000000000E+00   4.4152749410764475E-01   3.9331849130542995E-02   6.3292290368981791E-02
         1         20   0.0000000000000000E+00   3.4845906786589997E-01   3.6058236170989133E-02   5.5016751163959890E-02
         1         21   2.4126644760185667E-01   1.7778525601036799E+00   1.0796726455523917E+00   1.8228936569279691E-01
         1         22   9.4839762406621425E-02   1.0035811258582876E+00   5.7448678740012016E-01   1.0592026339568321E-01
         1         23   0.0000000000000000E+00   3.4697310029412454E-01   3.9705501490691748E-02   5.4447898583652739E-02
