################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5677901126411251E-01 a         1     0     1     1     1
 -8.8823573197888930E-02 a         2     0     1     1     2
 -2.1289556545643454E-01 a         3     0     1     1     3
  3.2373768429211675E-01 a         4     0     1     1     4
 -4.4285322716703623E-01 a         5     0     1     1     5
  1.0926382548362144E+00 a         6     0     1     1     6
  3.6645469383067880E-01 a         7     0     1     1     7
  2.0248082180284932E-01 a         8     0     1     1     8
 -1.7318329428036605E-01 a         9     0     1     1     9
 -2.4919781267098165E-01 a        10     0     1     1    10
  1.1827618102667421E-01 a        11     0     1     1    11
  2.1174638693793618E-01 a        12     0     1     1    12
 -6.1428013158231765E-01 a        13     0     1     1    13
  2.8532808664480835E-01 a        14     0     1     1    14
  2.5095110420721456E-01 a        15     0     1     1    15
 -1.1818444439012743E-01 a        16     0     1     1    16
 -4.7236382807512339E-01 a        17     0     1     1    17
  3.1485997295558281E-02 a        18     0     1     1    18
 -7.5104020872769989E-02 a        19     0     1     1    19
 -1.4292947033515135E-01 a        20     0     1     1    20
 -2.2890886897553274E-03 a        21     0     1     1    21
 -5.2197693011275803E-02 a        22     0     1     1    22
 -8.2013150119058867E-02 a        23     0     1     1    23
 -6.6293559120516946E-02 a        24     0     1     1    24
  2.2703375398762740E-01 a        25     0     1     1    25
 -4.5140682527114839E-01 a        26     0     2     1     1
  6.1698188681241650E-01 a        27     0     2     1     2
  1.6054035430286182E-01 a        28     0     2     1     3
 -5.3709523888168531E-01 a        29     0     2     1     4
  1.0292380383358718E-01 a        30     0     2     1     5
 -3.3210782847834031E-01 a        31     0     2     1     6
 -5.5201717226797520E-01 a        32     0     2     1     7
  9.9818565157730171E-03 a        33     0     2     1     8
 -3.1867726589816714E-01 a        34     0     2     1     9
 -4.6204740664986144E-01 a        35     0     2     1    10
  3.0292798397457238E-01 a        36     0     2     1    11
 -3.5468024259454711E-01 a        37     0     2     1    12
 -4.3461223954025252E-01 a        38     0     2     1    13
 -1.6578144857817542E-01 a        39     0     2     1    14
  7.6465634508473235E-01 a        40     0     2     1    15
  9.2481626384546184E-02 a        41     0     2     1    16
  1.0128322691595052E-02 a        42     0     2     1    17
  2.0088056265459472E-01 a        43     0     2     1    18
  2.7878464656314134E-01 a        44     0     2     1    19
 -6.4348800792079483E-02 a        45     0     2     1    20
  9.0505753532821942E-01 a        46     0     2     1    21
  8.9581217465029575E-02 a        47     0     2     1    22
  3.1771165147720082E-01 a        48     0     2     1    23
 -3.4374328737269044E-01 a        49     0     2     1    24
  8.4651395934577614E-02 a        50     0     2     1    25
  2.0767161809228607E-02 a        51     0     3     1     1
  5.4082723346114109E-02 a        52     0     3     1     2
 -1.2522054404142019E-01 a        53     0     3     1     3
 -8.3284980101105036E-02 a        54     0     3     1     4
 -1.4349372648555767E-01 a        55     0     3     1     5
 -1.9722750657081581E-01 a        56     0     3     1     6
  3.5088033047244102E-02 a        57     0     3     1     7
  1.6241949846165304E-01 a        58     0     3     1     8
  2.0044882133724806E-01 a        59     0     3     1     9
 -1.6006252728222883E-01 a        60     0     3     1    10
  2.8216859330943478E-01 a        61     0     3     1    11
  6.0358194183283774E-02 a        62     0     3     1    12
 -8.9994766994353145E-02 a        63     0     3     1    13
  1.7236747533259400E-01 a        64     0     3     1    14
 -7.2099611471681285E-02 a        65     0     3     1    15
  1.6727923131931999E-01 a        66     0     3     1    16
 -1.5380096666932590E-02 a        67     0     3     1    17
  2.4362864936808107E-01 a        68     0     3     1    18
 -2.0542569764705554E-01 a        69     0     3     1    19
  2.0099672876811867E-01 a        70     0     3     1    20
 -5.9546378144335818E-02 a        71     0     3     1    21
 -1.8836606541219533E-01 a        72     0     3     1    22
 -8.3201565905618474E-02 a        73     0     3     1    23
 -8.9090092678893538E-03 a        74     0     3     1    24
 -2.4838403086868738E-01 a        75     0     3     1    25
 -2.2067287445346215E-01 a        76     0     4     1     1
 -2.7065899582796069E-02 a        77     0     4     1     2
 -1.4607780171299567E-01 a        78     0     4     1     3
 -1.9141993234663521E-02 a        79     0     4     1     4
 -3.2846118517557997E-02 a        80     0     4     1     5
  4.6482106170808016E-02 a        81     0     4     1     6
 -4.4149422127470646E-02 a        82     0     4     1     7
  9.2252747243599470E-02 a        83     0     4     1     8
  1.8492031604832775E-03 a        84     0     4     1     9
  6.1710664129587867E-02 a        85     0     4     1    10
  7.9414955596222900E-02 a        86     0     4     1    11
 -1.7589491621404904E-01 a        87     0     4     1    12
 -7.4197476446602795E-02 a        88     0     4     1    13
  2.1742369106171510E-02 a        89     0     4     1    14
  8.1180063493535765E-02 a        90     0     4     1    15
  2.0041862846110520E-01 a        91     0     4     1    16
  9.7132879304962477E-02 a        92     0     4     1    17
  3.5991437445951437E-02 a        93     0     4     1    18
  5.8020474201822270E-02 a        94     0     4     1    19
  3.9637443823741507E-02 a        95     0     4     1    20
 -3.0188381969338413E-01 a        96     0     4     1    21
 -2.5040601185290212E-01 a        97     0     4     1    22
  1.3612509590115857E-01 a        98     0     4     1    23
  1.8859166294585286E-01 a        99     0     4     1    24
 -2.0356590180597420E-01 a       100     0     4     1    25
  1.2053240433505336E-01 a       101     0     5     1     1
  3.5405037529628647E-01 a       102     0     5     1     2
 -1.1520338824616966E-01 a       103     0     5     1     3
 -1.4588003488835768E-01 a       104     0     5     1     4
  9.4653503235686859E-02 a       105     0     5     1     5
  9.9624194532967603E-01 a       106     0     5     1     6
 -5.3065245495102575E-01 a       107     0     5     1     7
  2.8236232189406966E-02 a       108     0     5     1     8
  4.5339966210110716E-01 a       109     0     5     1     9
  3.2576023178750158E-01 a       110     0     5     1    10
 -7.0899985440608021E-02 a       111     0     5     1    11
 -2.9140480980940277E-02 a       112     0     5     1    12
  8.8378251708532335E-02 a       113     0     5     1    13
 -5.9099704504796824E-01 a       114     0     5     1    14
  2.0195144866575437E-01 a       115     0     5     1    15
 -1.3065882636705750E-01 a       116     0     5     1    16
  6.1488188843924052E-01 a       117     0     5     1    17
 -3.6218554905401085E-01 a       118     0     5     1    18
 -5.6212978818845083E-01 a       119     0     5     1    19
  1.5807796930625087E-01 a       120     0     5     1    20
 -1.4641923063777462E-01 a       121     0     5     1    21
 -2.9608567486151027E-01 a       122     0     5     1    22
  4.9848359240440238E-01 a       123     0     5     1    23
 -3.4690965742179081E-01 a       124     0     5     1    24
 -2.9204265555786213E-01 a       125     0     5     1    25
  5.1156237481316036E-01 a       126     0     6     1     1
 -9.9911158705078673E-01 a       127     0     6     1     2
 -3.8495492680620325E-01 a       128     0     6     1     3
  2.9584361981973512E-01 a       129     0     6     1     4
 -1.0683901788291161E-01 a       130     0     6     1     5
  2.6795691344937378E-01 a       131     0     6     1     6
 -7.6715543619946744E-03 a       132     0     6     1     7
