################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.6340534854093459E-02 a         1     0     1     1     1
  2.5346267849989924E-02 a         2     0     1     1     2
 -5.3712140655181831E-02 a         3     0     1     1     3
  7.9247312849630394E-02 a         4     0     1     1     4
 -3.1968506441429650E-02 a         5     0     1     1     5
  2.1410108246778689E-01 a         6     0     1     1     6
  2.2295640400137193E-01 a         7     0     1     1     7
  1.0857079477543555E-01 a         8     0     1     1     8
 -4.2821302540597544E-02 a         9     0     1     1     9
  4.9012102110323939E-02 a        10     0     1     1    10
  4.1804752746091889E-01 a        11     0     1     1    11
  1.6797854577662050E-01 a        12     0     1     1    12
  1.0775225118855201E-01 a        13     0     1     1    13
 -7.1895690552728000E-02 a        14     0     1     1    14
  2.0418169967916601E-02 a        15     0     1     1    15
 -1.5933720075199137E-01 a        16     0     1     1    16
  2.7581034580715807E-01 a        17     0     1     1    17
 -1.0509357758044544E-01 a        18     0     1     1    18
  4.1977524754424241E-02 a        19     0     1     1    19
  2.7798879187894676E-01 a        20     0     1     1    20
 -1.1632000730892499E-01 a        21     0     1     1    21
  2.0693124234376059E-01 a        22     0     1     1    22
  1.5146737166933313E-01 a        23     0     1     1    23
  2.0621023379583334E-01 a        24     0     1     1    24
 -1.9455771884302678E-01 a        25     0     1     1    25
  4.4575844973071786E-02 a        26     0     2     1     1
 -1.9330471821578293E-01 a        27     0     2     1     2
  1.2145487189911515E-01 a        28     0     2     1     3
 -4.7501959753525204E-02 a        29     0     2     1     4
  1.5164685961117773E-02 a        30     0     2     1     5
 -1.3049902011239928E-01 a        31     0     2     1     6
  9.1379587306218341E-02 a        32     0     2     1     7
 -1.5848412684467780E-01 a        33     0     2     1     8
  4.6883329812157384E-02 a        34     0     2     1     9
 -2.0832301534013481E-01 a        35     0     2     1    10
 -8.1875800701911375E-02 a        36     0     2     1    11
  2.4972413149108988E-02 a        37     0     2     1    12
 -3.1752290776756306E-03 a        38     0     2     1    13
  2.9280724367776845E-01 a        39     0     2     1    14
  1.6064345546112122E-01 a        40     0     2     1    15
  3.1650376919154628E-02 a        41     0     2     1    16
  1.0585544800282716E-01 a        42     0     2     1    17
  2.9491728248453239E-02 a        43     0     2     1    18
 -1.8904442464348286E-02 a        44     0     2     1    19
  1.9852579929397776E-01 a        45     0     2     1    20
 -8.0620244133925656E-02 a        46     0     2     1    21
 -2.1450391116662883E-02 a        47     0     2     1    22
  3.8272226469267853E-02 a        48     0     2     1    23
 -2.4276184069414077E-04 a        49     0     2     1    24
 -2.8054140775978176E-02 a        50     0     2     1    25
  2.1542327665651581E-01 a        51     0     3     1     1
  2.5566366983730926E-01 a        52     0     3     1     2
 -1.8343421458319581E-01 a        53     0     3     1     3
  8.4166942085587240E-02 a        54     0     3     1     4
  1.9423302289950036E-02 a        55     0     3     1     5
  6.5886955215369580E-02 a        56     0     3     1     6
 -1.0299751386868991E-01 a        57     0     3     1     7
  2.2491966993901621E-01 a        58     0     3     1     8
 -6.5372087978947738E-02 a        59     0     3     1     9
 -9.6034912847609774E-02 a        60     0     3     1    10
 -2.2724894379751552E-02 a        61     0     3     1    11
 -4.5002648141719899E-02 a        62     0     3     1    12
 -6.2670856071077204E-03 a        63     0     3     1    13
 -1.1387729914848660E-01 a        64     0     3     1    14
  1.1575145935463188E-01 a        65     0     3     1    15
 -6.3352620980039492E-02 a        66     0     3     1    16
 -7.0158726437979685E-02 a        67     0     3     1    17
  4.0135520362777462E-02 a        68     0     3     1    18
 -2.3619312161520034E-01 a        69     0     3     1    19
