################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   5.5271678568362976E-03   7.7111173154335952E-02   3.2965497927389030E-02   6.5026796477968265E-03
         1          2   3.8965780694866427E-02   2.2493750852477590E-01   1.5510030804087965E-01   9.4319601707699013E-03
         1          3   0.0000000000000000E+00   1.3745639214836484E-02   1.3496612937653943E-05   1.0446692608257194E-04
         1          4   0.0000000000000000E+00   2.1083174573925261E-02   2.0676174416133623E-04   7.5117924031648789E-04
         1          5   6.4876868602667351E-02   4.1742296339067880E-01   1.9166480220138590E-01   3.1457886844318217E-02
         1          6   2.2322408725487319E-01   5.0263523937351740E-01   3.6009731683060897E-01   3.4993943425961828E-02
         1          7   0.0000000000000000E+00   9.0792542123535894E-02   3.5116582440498158E-04   1.3286255883780392E-03
         1          8   0.0000000000000000E+00   1.1825866811104732E-01   2.6170462593918240E-03   7.8117305114619789E-03
         1          9   2.3961757114251703E-01   1.0419710369326853E+00   5.3770520475464523E-01   1.1012476644940401E-01
         1         10   2.1410415540078170E-01   6.3628424756358481E-01   3.9885122321901834E-01   8.2167315346751590E-02
         1         11   0.0000000000000000E+00   2.2061799932277204E-01   3.9523128201022157E-03   9.7783587441866264E-03
         1         12   0.0000000000000000E+00   2.4402568733101646E-01   1.3458705973267900E-02   3.3413250953165718E-02
         1         13   1.8113278051054715E-01   1.6793972955150365E+00   9.1248246380763487E-01   1.9495972763735492E-01
         1         14   6.7693823267107878E-02   7.8760149358920828E-01   3.7760111723208611E-01   1.0053501012470885E-01
         1         15   0.0000000000000000E+00   3.2788396759532845E-01   1.9062333340714714E-02   3.6529059523697914E-02
         1         16   0.0000000000000000E+00   3.4657647376929529E-01   3.0266891128193186E-02   6.0842225437426636E-02
         1         17   1.3553708981177939E-01   1.9189749013318220E+00   1.1090584411676725E+00   2.0835590526738906E-01
         1         18   4.4117589701607347E-02   1.0210120832406404E+00   4.9436703203284676E-01   1.1880105026124965E-01
         1         19   0.0000000000000000E+00   4.4152749410764475E-01   4.0262217077993684E-02   6.4321461388288412E-02
         1         20   0.0000000000000000E+00   3.6367256306069590E-01   3.6695722026991569E-02   5.5183573002555567E-02
         1         21   2.4126644760185667E-01   1.7778525601036799E+00   1.0610702166294279E+00   1.7163767248367362E-01
         1         22   9.4839762406621425E-02   9.8463250807322422E-01   5.6392103159709284E-01   9.9954668457736220E-02
         1         23   0.0000000000000000E+00   3.4697310029412454E-01   4.0429690242788148E-02   5.5077200523724751E-02
         1         24   0.0000000000000000E+00   3.1052620497300953E-01   3.3714367605731203E-02   4.1765707963260443E-02
         1         25   2.4492589506812396E-01   1.2348151178945634E+00   8.0118336371395149E-01   1.1446313920400340E-01
         1         26   8.0028958391058821E-02   6.9825549901781159E-01   4.2125547130102742E-01   6.7729281375675063E-02
         1         27   0.0000000000000000E+00   2.0161879182229800E-01   2.4185278424339193E-02   2.8389295963326719E-02
         1         28   0.0000000000000000E+00   1.9700048146658372E-01   2.5382108846528868E-02   2.9386566256764897E-02
         1         29   1.6848498472072726E-01   6.9066018195543200E-01   4.4300259047423030E-01   6.0843368004093214E-02
         1         30   4.2159286383257236E-02   3.7370855208941611E-01   2.1850277707209531E-01   3.5328586958331971E-02
         1         31   0.0000000000000000E+00   1.0091451467579816E-01   1.2047169348599689E-02   1.3551915507979026E-02
         1         32   0.0000000000000000E+00   1.0613418331868382E-01   1.3767927678911614E-02   1.4937544679776892E-02
         1         33   6.4971891366835607E-02   2.6256326215555370E-01   1.7044264514286106E-01   2.3323111719104596E-02
         1         34   2.3845509623914990E-02   1.5223978821982723E-01   8.2845493653463262E-02   1.4198339437891531E-02
         1         35   0.0000000000000000E+00   4.8324967386538985E-02   5.0607116282185283E-03   5.5910315221586520E-03
         1         36   0.0000000000000000E+00   3.7376156548777704E-02   5.2034059924496974E-03   5.5093322248064630E-03
         1         37   1.7140084409702445E-02   6.7392294099948666E-02   4.2603056194714127E-02   6.0191169455039864E-03
         1         38   5.3909681798462381E-03   3.8621321029584980E-02   2.1059440747179949E-02   3.9440728526884232E-03
         1         39   0.0000000000000000E+00   1.0925414998555497E-02   1.3871633861294577E-03   1.4971228887116889E-03
         1         40   0.0000000000000000E+00   9.9902793972613813E-03   1.2990446579545609E-03   1.3889453589570062E-03
         1         41   7.1414554204253728E-04   6.7417754631246968E-02   2.2848164646679880E-02   8.2841799018861222E-03
         1         42   5.9506863830469650E-03   9.9625077019513147E-02   4.2470321784751831E-02   1.2970171133559237E-02
         1         43   0.0000000000000000E+00   1.3678103906856809E-02   8.3808493072687947E-04   1.3651900485306737E-03
         1         44   0.0000000000000000E+00   2.0155238703515654E-02   1.2502906540396907E-03   2.3673483759904901E-03
         1         45   3.8774028967327199E-04   3.5852287279262991E-02   1.4452852121714663E-02   5.8999134568860218E-03
         1         46   0.0000000000000000E+00   1.7135314117890117E-02   7.4111620454901423E-04   1.3407046576049723E-03
         1         47   0.0000000000000000E+00   1.6909521610832676E-02   1.2423277978315772E-03   2.3686138651756354E-03
         1         48   0.0000000000000000E+00   8.6374550160886378E-04   9.1800377985507191E-06   4.0328291858843114E-05
         1         49   0.0000000000000000E+00   3.3427726999505380E-03   3.6101187711516292E-05   1.3297498958775468E-04
         1         50   0.0000000000000000E+00   9.8629357667199820E-04   3.8103399769807459E-06   2.8196677064432703E-05
         1         51   2.8628120145804603E-03   1.5515660067656592E-01   6.0318968685627576E-02   1.8437163012258961E-02
         1         52   4.7352411778073804E-02   2.9239441452302523E-01   1.5479593431790448E-01   3.2972766203165707E-02
         1         53   0.0000000000000000E+00   2.0507459648551753E-02   1.8488830032990470E-03   2.6528813436621371E-03
         1         54   0.0000000000000000E+00   2.9876449595018551E-02   3.0758025781483841E-03   4.4461948436219480E-03
         1         55   7.9698069823608394E-04   3.4593060557373920E-02   1.3954352828751345E-02   4.2326699333423631E-03
         1         56   0.0000000000000000E+00   3.0011438294685153E-02   2.5268569824166611E-03   4.0051274139322043E-03
         1         57   0.0000000000000000E+00   8.0137797797270455E-03   8.7870774794078380E-04   1.1194478898042526E-03
         1         58   0.0000000000000000E+00   1.5898054344044557E-03   1.6538145034626093E-05   7.5542176272115884E-05
