################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.1478077006697913E-02   7.7111173154335952E-02   3.2431956345430432E-02   6.3848774442001035E-03
         1          2   1.0887783551780446E-01   1.9510426791827057E-01   1.5421023828448902E-01   9.2186696462047153E-03
         1          3   0.0000000000000000E+00   3.6635671142192286E-03   1.1345366627905722E-05   6.7944647643670489E-05
         1          4   0.0000000000000000E+00   2.1083174573925261E-02   2.0443014141522214E-04   7.3143034204465707E-04
         1          5   8.2521254417878553E-02   4.1742296339067880E-01   1.8671437888515829E-01   2.9550218007414752E-02
         1          6   2.8190504229993113E-01   5.0190090900549944E-01   3.5571604984581157E-01   3.3112091078052873E-02
         1          7   0.0000000000000000E+00   3.7902937299556641E-02   3.1093343256392120E-04   1.1340375420707098E-03
         1          8   0.0000000000000000E+00   1.1825866811104732E-01   2.6310921532935738E-03   7.6753312975025266E-03
         1          9   2.3175279502304241E-01   1.0419710369326853E+00   5.1832358343215701E-01   1.0470041489173318E-01
         1         10   2.3470133065835141E-01   6.3908177732147431E-01   3.8916946931848406E-01   8.0541639127512527E-02
         1         11   0.0000000000000000E+00   1.5070271340123687E-01   3.6504370094276681E-03   9.0710434310302072E-03
         1         12   0.0000000000000000E+00   2.4402568733101646E-01   1.3782328903702540E-02   3.3211269810923497E-02
         1         13   1.8113278051054715E-01   1.6793972955150365E+00   8.7945556013342008E-01   1.9243846046457622E-01
         1         14   7.3857861825487425E-02   7.8760149358920828E-01   3.6473178083874536E-01   1.0019058798535840E-01
         1         15   0.0000000000000000E+00   3.1866006928864832E-01   1.8377752378794073E-02   3.4973885827287610E-02
         1         16   0.0000000000000000E+00   3.4657647376929529E-01   3.1492117250399944E-02   6.1380914626161256E-02
         1         17   1.3553708981177939E-01   1.9189749013318220E+00   1.0743982487442494E+00   2.0878547211957216E-01
         1         18   4.4117589701607347E-02   9.2917309678158178E-01   4.7504372211899282E-01   1.1817949527009462E-01
         1         19   0.0000000000000000E+00   4.4152749410764475E-01   4.0518707831581485E-02   6.3599690214928895E-02
         1         20   0.0000000000000000E+00   3.9066141216772021E-01   3.8214111818681472E-02   5.6224589163182619E-02
         1         21   2.4126644760185667E-01   1.7778525601036799E+00   1.0254411369559369E+00   1.7085001713633130E-01
         1         22   9.4839762406621425E-02   9.2326640335059273E-01   5.4305279219010660E-01   9.8324911459334641E-02
         1         23   0.0000000000000000E+00   3.4697310029412454E-01   4.2077504961480688E-02   5.6123500723356333E-02
         1         24   0.0000000000000000E+00   2.6421251069473484E-01   3.4515432835578903E-02   4.1734880142579978E-02
         1         25   2.4492589506812396E-01   1.1828780646467565E+00   7.7324647357398901E-01   1.1158176794843916E-01
         1         26   8.0028958391058821E-02   6.9825549901781159E-01   4.0805699400867329E-01   6.6263166926612715E-02
         1         27   0.0000000000000000E+00   2.0912551387316988E-01   2.5238069875022709E-02   2.9023072536922646E-02
         1         28   0.0000000000000000E+00   1.9109347619725661E-01   2.5766359348699749E-02   2.9168596682164174E-02
         1         29   1.9260576501632515E-01   6.8447891953753093E-01   4.2890940664276567E-01   5.9273020851903592E-02
         1         30   4.2159286383257236E-02   3.5095229728298516E-01   2.1211079982155556E-01   3.4678929624605302E-02
         1         31   0.0000000000000000E+00   1.0091451467579816E-01   1.2225534422905502E-02   1.3445305974237244E-02
         1         32   0.0000000000000000E+00   1.0613418331868382E-01   1.4011031741402426E-02   1.4901984625782723E-02
         1         33   6.1511767016980932E-02   2.5378436890271011E-01   1.6547550338610051E-01   2.2916955885127654E-02
         1         34   2.3845509623914990E-02   1.4597230837702665E-01   8.0331533815349798E-02   1.3855682892976924E-02
         1         35   0.0000000000000000E+00   4.8324967386538985E-02   5.0779414151172018E-03   5.5125159028598120E-03
         1         36   0.0000000000000000E+00   3.6863622831612090E-02   5.3164375293072025E-03   5.5055111236764253E-03
         1         37   1.7140084409702445E-02   6.4569304841643235E-02   4.1375842612926580E-02   5.9163966132787819E-03
         1         38   5.3909681798462381E-03   3.7194463121381527E-02   2.0405602983316142E-02   3.8468404872348955E-03
         1         39   0.0000000000000000E+00   1.0925414998555497E-02   1.4033488484939546E-03   1.4835913664574770E-03
         1         40   0.0000000000000000E+00   9.4141106491844838E-03   1.3304208405032069E-03   1.3842455380832592E-03
         1         41   7.1414554204253728E-04   6.7417754631246968E-02   2.1175272799884119E-02   7.8058729848583192E-03
         1         42   5.9506863830469650E-03   9.9511199282861854E-02   3.9978386660190192E-02   1.2296917932283548E-02
         1         43   0.0000000000000000E+00   1.3308767977622215E-02   7.9522720150259762E-04   1.2664740040418529E-03
         1         44   0.0000000000000000E+00   2.0155238703515654E-02   1.2556807336948906E-03   2.3173776598120195E-03
         1         45   3.8774028967327199E-04   3.3523005628541408E-02   1.3492376631243991E-02   5.6391140226955128E-03
         1         46   0.0000000000000000E+00   1.7135314117890117E-02   7.1680557113936848E-04   1.2796529579100096E-03
         1         47   0.0000000000000000E+00   1.5873413221753417E-02   1.2632629356084894E-03   2.3442919415462577E-03
         1         48   0.0000000000000000E+00   8.5172578153357506E-04   8.7209149608804042E-06   3.6815685323181619E-05
         1         49   0.0000000000000000E+00   3.3427726999505380E-03   3.6669231095666967E-05   1.3232994052437584E-04
         1         50   0.0000000000000000E+00   9.7855714523578012E-04   3.6583541164509540E-06   2.6798347455770955E-05
         1         51   2.8628120145804603E-03   1.5515660067656592E-01   5.5889939130337310E-02   1.7331170939625325E-02
         1         52   4.7352411778073804E-02   2.9239441452302523E-01   1.4714553580065498E-01   3.1158686996650097E-02
         1         53   0.0000000000000000E+00   1.8260477914942234E-02   1.7373590978823753E-03   2.4302047797488567E-03
         1         54   0.0000000000000000E+00   2.9876449595018551E-02   3.0929479190953957E-03   4.3815217977529134E-03
         1         55   7.9698069823608394E-04   3.4593060557373920E-02   1.2824903794671993E-02   3.9111682591972978E-03
         1         56   0.0000000000000000E+00   2.8067314358395126E-02   2.4191827190765268E-03   3.7470487401155442E-03
         1         57   0.0000000000000000E+00   7.1004083292066133E-03   8.7188799752162076E-04   1.0895523372764222E-03
         1         58   0.0000000000000000E+00   1.2886309376274349E-03   1.4415604891886244E-05   6.2406956906556230E-05
         1         59   0.0000000000000000E+00   5.6617149822840275E-03   9.2008712208737912E-05   3.0399386873420996E-04
         1         60   0.0000000000000000E+00   9.5539359093564028E-04   4.6119568984923660E-06   3.2370003451805895E-05
         1         61   7.6091963438352020E-05   1.7695873267487481E-02   3.9677649125198951E-03   1.8258449942048776E-03
         1         62   2.1666130873418941E-04   3.3135926855342578E-02   1.1150288949851201E-02   5.2129832355923954E-03
         1         63   0.0000000000000000E+00   3.3071843367024818E-03   7.5345042925922817E-05   1.5454188733651810E-04
         1         64   0.0000000000000000E+00   7.2711062863746768E-03   3.2578308056150680E-04   7.5773884086633217E-04
         1         65   2.1552525866100566E-05   2.1933521896478948E-02   7.1110389344384997E-03   4.3368304840557970E-03
         1         66   0.0000000000000000E+00   4.5405742473353765E-03   6.7756455036174735E-05   1.5919771343440585E-04
         1         67   0.0000000000000000E+00   1.3049708551569700E-02   7.7327848572069638E-04   1.7798909606200250E-03
         1         68   0.0000000000000000E+00   1.9722283629013080E-04   7.9483265422237396E-07   4.2769129645230086E-06
         1         69   0.0000000000000000E+00   6.0662730352092106E-04   4.4465667018547513E-06   2.0448966323089127E-05
         1         70   0.0000000000000000E+00   2.3472643319640704E-04   5.3911923740726505E-07   4.0985291138711555E-06
         1         71   1.8754737284558728E-03   8.0766864027930291E-02   3.1268432231868426E-02   8.9534534333070535E-03
         1         72   3.4248441769477285E-02   1.8980235414345853E-01   1.0264588514704709E-01   2.0906000936748801E-02
         1         73   0.0000000000000000E+00   7.4775422158733108E-03   7.0821485283620723E-04   9.2861848752745252E-04
         1         74   0.0000000000000000E+00   1.4489081173105694E-02   1.7309236494361603E-03   2.2746319788297799E-03
         1         75   4.2546425699824291E-04   1.3326270556786271E-02   5.2830825454390799E-03   1.6177717533974627E-03
         1         76   0.0000000000000000E+00   1.3140527226543967E-02   1.3276890497420574E-03   2.0039126525433102E-03
         1         77   0.0000000000000000E+00   2.7696148272872232E-03   3.1719957860000487E-04   3.7354181099471509E-04
         1         78   0.0000000000000000E+00   4.0497813553594733E-04   4.2092658643867463E-06   1.9456050112044517E-05
         1         79   0.0000000000000000E+00   2.7488232483885524E-03   4.3481102356398801E-05   1.3905689881640775E-04
         1         80   0.0000000000000000E+00   1.7694508925564603E-04   1.1311665248488130E-06   7.4837303575227946E-06
         2          1   2.3595445736855764E-01   3.7892797512263071E-01   3.0842047656897809E-01   1.4216850212738018E-02
         2          2   5.6886328173614069E-08   1.1656927279837755E-03   1.4092937791649650E-04   1.0278033056454686E-04
         2          3   0.0000000000000000E+00   6.3077452962396153E-03   1.0829690334734530E-04   2.7168607981419105E-04
         2          4   0.0000000000000000E+00   1.6352915604665817E-04   1.4222690706668186E-06   4.3826730191380037E-06
         2          5   5.8869048293482917E-01   9.2093464141411940E-01   7.1143209969162324E-01   4.8728491347523911E-02
         2          6   7.9478843334650723E-06   1.9891616758675536E-02   4.3016743837427244E-03   2.4826327718686352E-03
         2          7   0.0000000000000000E+00   5.4749788917868289E-02   2.0040559466803238E-03   4.3487463459954594E-03
         2          8   0.0000000000000000E+00   3.9612933912201807E-03   6.9294921848132881E-05   1.6965966179362100E-04
         2          9   4.8217570060129339E-01   1.1757782528614107E+00   7.7833893863696813E-01   1.2717065016997295E-01
         2         10   4.1775704849352294E-04   1.5645162206627944E-01   5.1860600698604153E-02   2.2700081095285731E-02
         2         11   0.0000000000000000E+00   2.0128873074434678E-01   1.4530137470151668E-02   2.7836025305523270E-02
         2         12   0.0000000000000000E+00   3.5300747970230389E-02   1.3244447747633647E-03   2.6527726473733904E-03
         2         13   1.5336912160576277E-01   1.4165568412956036E+00   7.2946356167749071E-01   1.7841565412428187E-01
         2         14   8.3559778679621072E-03   5.8161562191562777E-01   2.5520346804293492E-01   7.9312567619820737E-02
         2         15   0.0000000000000000E+00   4.3321622680760474E-01   4.2185325910686008E-02   7.2731071962829949E-02
         2         16   0.0000000000000000E+00   1.4979492809590733E-01   1.0077078377387475E-02   1.6871519072623683E-02
         2         17   1.3274923918582832E-01   1.7831642438780420E+00   9.5008744423798563E-01   2.0630261782504253E-01
         2         18   6.4878123831784915E-02   9.9428389446080034E-01   5.4840524244472599E-01   1.1731207737969548E-01
         2         19   0.0000000000000000E+00   5.0560730702105150E-01   5.2138136232451095E-02   8.1156874367150300E-02
         2         20   0.0000000000000000E+00   3.0478451912627913E-01   3.1462401545050041E-02   4.4621384849796206E-02
         2         21   3.3899642566233856E-01   1.7062042601276572E+00   1.0861055843802132E+00   1.7722413650112417E-01
         2         22   1.8088789875628566E-01   9.9072273257412347E-01   5.9186502419579690E-01   1.0510626707100486E-01
         2         23   0.0000000000000000E+00   2.9860596164604508E-01   3.4291245365331895E-02   4.5569807897459944E-02
         2         24   0.0000000000000000E+00   3.3133203672997319E-01   4.3192557801306077E-02   5.2243060177268909E-02
         2         25   3.3843879970077850E-01   1.2341582248891680E+00   8.1611398801734691E-01   1.1284443197299934E-01
         2         26   1.2657163846955233E-01   6.4092781027403811E-01   4.0341059905730897E-01   6.5965400839014518E-02
         2         27   0.0000000000000000E+00   1.8185357610603109E-01   2.0444508709471069E-02   2.4225071498108118E-02
         2         28   0.0000000000000000E+00   1.8752819334852064E-01   3.0550637219533196E-02   3.2251032720709637E-02
