################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.1115271381567233E-01 a         1     0     1     1     1
  9.0099191101518039E-02 a         2     0     1     1     2
  1.1441342129392486E-01 a         3     0     1     1     3
 -2.3509511843594313E-01 a         4     0     1     1     4
  8.7206285412658513E-02 a         5     0     1     1     5
 -8.6552587123157401E-02 a         6     0     1     1     6
  3.0256055761638412E-01 a         7     0     1     1     7
  5.9497939133731782E-02 a         8     0     1     1     8
  6.0601750608271200E-02 a         9     0     1     1     9
  9.9130848617536141E-02 a        10     0     1     1    10
  7.3108874449319319E-04 a        11     0     1     1    11
  1.0090340203750004E-02 a        12     0     1     1    12
 -1.2262750330435623E-01 a        13     0     1     1    13
 -1.0149425905957435E-01 a        14     0     1     1    14
  7.7997467652151667E-02 a        15     0     1     1    15
  3.6854687874270847E-01 a        16     0     1     1    16
  2.6255266355691409E-01 a        17     0     1     1    17
 -2.3378877900564456E-02 a        18     0     1     1    18
  4.6876721421237999E-01 a        19     0     1     1    19
  1.3424151099349979E-01 a        20     0     1     1    20
 -7.1403543659511973E-02 a        21     0     1     1    21
 -3.5971922458075201E-01 a        22     0     1     1    22
 -2.1678303615449840E-01 a        23     0     1     1    23
  2.3035034434477758E-01 a        24     0     1     1    24
  1.0860722156969108E-01 a        25     0     1     1    25
  1.9967511980058222E-01 a        26     0     2     1     1
 -2.2791042928410606E-02 a        27     0     2     1     2
  1.6402325835084217E-01 a        28     0     2     1     3
  8.5591277684917519E-02 a        29     0     2     1     4
 -3.3105940572496793E-02 a        30     0     2     1     5
  4.7086122638531479E-02 a        31     0     2     1     6
 -7.9468425165138010E-02 a        32     0     2     1     7
 -1.1351245639118256E-01 a        33     0     2     1     8
  5.7609702979399852E-02 a        34     0     2     1     9
 -5.5102008596922415E-02 a        35     0     2     1    10
  3.1832758823481702E-02 a        36     0     2     1    11
  7.3240515701181272E-02 a        37     0     2     1    12
 -1.3068643024550403E-01 a        38     0     2     1    13
 -3.4535107201117854E-02 a        39     0     2     1    14
  4.8280449347967054E-02 a        40     0     2     1    15
  5.2189079931862038E-02 a        41     0     2     1    16
  4.3686278170266039E-02 a        42     0     2     1    17
  2.6983559050718139E-02 a        43     0     2     1    18
 -8.0052978440568162E-02 a        44     0     2     1    19
 -1.7211105530736345E-01 a        45     0     2     1    20
 -1.3404137530655851E-02 a        46     0     2     1    21
 -1.3630959365861620E-01 a        47     0     2     1    22
  1.5778839018141272E-01 a        48     0     2     1    23
 -1.4728867007273688E-01 a        49     0     2     1    24
  7.7978461562883142E-02 a        50     0     2     1    25
 -1.5562575456940203E-01 a        51     0     3     1     1
  1.0020455462084246E-01 a        52     0     3     1     2
  1.5895148166931086E-01 a        53     0     3     1     3
 -7.1578559016130777E-02 a        54     0     3     1     4
 -7.2878550734322159E-02 a        55     0     3     1     5
 -9.4967671268392909E-02 a        56     0     3     1     6
 -1.3960590016134877E-01 a        57     0     3     1     7
 -9.5523968435225537E-02 a        58     0     3     1     8
 -9.3444357618356580E-02 a        59     0     3     1     9
 -1.5870029820832240E-01 a        60     0     3     1    10
 -8.0200584965211871E-03 a        61     0     3     1    11
  8.7974823741603245E-02 a        62     0     3     1    12
 -9.7802456971677471E-02 a        63     0     3     1    13
  6.0512019310977341E-02 a        64     0     3     1    14
  2.4134941505286021E-02 a        65     0     3     1    15
  9.6594665900046450E-02 a        66     0     3     1    16
 -1.5284565136972453E-01 a        67     0     3     1    17
 -5.7311914380088938E-02 a        68     0     3     1    18
  7.2969560132004882E-02 a        69     0     3     1    19
 -3.6374248844454539E-02 a        70     0     3     1    20
 -5.7910340831467226E-02 a        71     0     3     1    21
 -6.6734100991364328E-02 a        72     0     3     1    22
  1.5670604916435935E-01 a        73     0     3     1    23
  1.0438901446712050E-01 a        74     0     3     1    24
 -1.3627354600576977E-01 a        75     0     3     1    25
  1.0006021557296725E-01 a        76     0     4     1     1
  1.1155769545456204E-01 a        77     0     4     1     2
 -3.2095622633230336E-01 a        78     0     4     1     3
 -1.5701458458823361E-01 a        79     0     4     1     4
  4.1574661415899862E-02 a        80     0     4     1     5
 -1.5623607469515405E-01 a        81     0     4     1     6
  6.0949869355106324E-05 a        82     0     4     1     7
  9.6195609678203925E-02 a        83     0     4     1     8
 -3.3033151768207987E-02 a        84     0     4     1     9
  3.2996949649228904E-02 a        85     0     4     1    10
 -1.9117228340199516E-01 a        86     0     4     1    11
  7.0626089538321335E-02 a        87     0     4     1    12
 -2.0412598195630013E-01 a        88     0     4     1    13
  3.5381008593219743E-02 a        89     0     4     1    14
  9.9611584303944525E-02 a        90     0     4     1    15
  1.5330239823049593E-01 a        91     0     4     1    16
  4.5874927693469233E-03 a        92     0     4     1    17
  9.4137946817222803E-02 a        93     0     4     1    18
  4.0815702357980758E-02 a        94     0     4     1    19
 -4.5019776071014005E-02 a        95     0     4     1    20
  8.7819649780760400E-02 a        96     0     4     1    21
  1.1307982977359055E-01 a        97     0     4     1    22
 -1.4055368120736936E-01 a        98     0     4     1    23
 -6.3820709605716383E-02 a        99     0     4     1    24
 -2.7046893551117540E-01 a       100     0     4     1    25
 -1.3164483884303901E-01 a       101     0     5     1     1
 -3.1651331685268796E-01 a       102     0     5     1     2
 -2.1589779664319367E-01 a       103     0     5     1     3
  2.8646180523519166E-01 a       104     0     5     1     4
  2.1021056049116424E-01 a       105     0     5     1     5
  3.4905292501705593E-01 a       106     0     5     1     6
 -9.7379613226520889E-01 a       107     0     5     1     7
  6.2429369265140956E-02 a       108     0     5     1     8
  1.1237578447815931E-01 a       109     0     5     1     9
  1.5610105455129886E-01 a       110     0     5     1    10
 -5.3754102528310511E-02 a       111     0     5     1    11
