################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.9574051943624745E-02 a         1     0     1     1     1
 -2.2170694820841108E-01 a         2     0     1     1     2
 -1.0589842334290137E-01 a         3     0     1     1     3
  6.8527638537353192E-02 a         4     0     1     1     4
  2.2051545298115321E-01 a         5     0     1     1     5
 -9.7010684227253521E-02 a         6     0     1     1     6
 -2.1138794473541922E-01 a         7     0     1     1     7
 -1.3070785339925034E-01 a         8     0     1     1     8
 -9.2525165879505461E-02 a         9     0     1     1     9
  2.7865141968591339E-01 a        10     0     1     1    10
 -1.7199309268096791E-01 a        11     0     1     1    11
 -2.1827502777406402E-02 a        12     0     1     1    12
 -1.4434253020281160E-01 a        13     0     1     1    13
  1.6570739002833573E-01 a        14     0     1     1    14
  9.1021447849281928E-02 a        15     0     1     1    15
  3.2816792851112997E-02 a        16     0     1     1    16
  1.4626409182921146E-01 a        17     0     1     1    17
  9.7150914089983945E-03 a        18     0     1     1    18
 -4.8663565817903495E-05 a        19     0     1     1    19
  1.4661632636744104E-02 a        20     0     1     1    20
  1.6947408275241199E-01 a        21     0     1     1    21
  1.7191202276951600E-01 a        22     0     1     1    22
  5.3751318155057237E-02 a        23     0     1     1    23
 -4.7921342385065867E-02 a        24     0     1     1    24
 -2.5831777182882213E-02 a        25     0     1     1    25
  4.1832621850196504E-02 a        26     0     2     1     1
 -6.1047768448707400E-02 a        27     0     2     1     2
  3.1245801622259498E-02 a        28     0     2     1     3
 -2.4858904373413995E-02 a        29     0     2     1     4
  2.4464801887231980E-02 a        30     0     2     1     5
  8.0546480812616464E-02 a        31     0     2     1     6
  2.1399153208675600E-01 a        32     0     2     1     7
  1.3201516363707910E-01 a        33     0     2     1     8
 -2.2313245533841178E-01 a        34     0     2     1     9
 -1.9158575436402878E-01 a        35     0     2     1    10
  1.0174937144131442E-01 a        36     0     2     1    11
 -1.0993823292864030E-01 a        37     0     2     1    12
  5.2131381036750239E-02 a        38     0     2     1    13
 -3.4398452248700702E-02 a        39     0     2     1    14
  6.0314490345662504E-02 a        40     0     2     1    15
 -7.0879544553743346E-02 a        41     0     2     1    16
 -3.5701825145172096E-02 a        42     0     2     1    17
  2.4620021625912258E-01 a        43     0     2     1    18
  1.3536703519392981E-01 a        44     0     2     1    19
  5.4669563130376374E-02 a        45     0     2     1    20
 -1.9231456266845670E-01 a        46     0     2     1    21
 -5.2240580477151341E-02 a        47     0     2     1    22
  5.4109582224400994E-02 a        48     0     2     1    23
 -5.6568563587362586E-03 a        49     0     2     1    24
 -2.6009768288262169E-01 a        50     0     2     1    25
  1.1339568077817792E-01 a        51     0     3     1     1
 -1.7025851311295082E-01 a        52     0     3     1     2
 -8.8072393007257874E-02 a        53     0     3     1     3
  7.0811036744149181E-02 a        54     0     3     1     4
 -1.0564229374466190E-02 a        55     0     3     1     5
  3.6487239225186596E-02 a        56     0     3     1     6
 -3.5773931204249021E-01 a        57     0     3     1     7
 -1.5628686190414257E-01 a        58     0     3     1     8
 -3.7735918850532596E-01 a        59     0     3     1     9
  1.0068502243651752E-01 a        60     0     3     1    10
  1.0426631209782340E-01 a        61     0     3     1    11
 -1.2022290299995479E-01 a        62     0     3     1    12
 -2.7887331160190382E-01 a        63     0     3     1    13
 -1.3284898734022643E-01 a        64     0     3     1    14
 -3.3308761847265098E-02 a        65     0     3     1    15
  1.7567467165767837E-02 a        66     0     3     1    16
 -7.4221127977306470E-02 a        67     0     3     1    17
 -1.1339469135577036E-01 a        68     0     3     1    18
  8.6080420080151404E-02 a        69     0     3     1    19
 -1.6483582840555837E-02 a        70     0     3     1    20
  1.2876143089759370E-01 a        71     0     3     1    21
  2.1495253396064229E-01 a        72     0     3     1    22
  2.5541725457852282E-01 a        73     0     3     1    23
 -1.0928064249821307E-02 a        74     0     3     1    24
 -3.6303655715018812E-02 a        75     0     3     1    25
  1.4588674177750630E-01 a        76     0     4     1     1
  6.0168462789517263E-02 a        77     0     4     1     2
  1.0467658774854410E-01 a        78     0     4     1     3
 -2.1799034947969285E-02 a        79     0     4     1     4
 -2.2465241028773023E-01 a        80     0     4     1     5
  1.1944596721511475E-01 a        81     0     4     1     6
 -2.0174550210145348E-01 a        82     0     4     1     7
  3.5871933495275524E-02 a        83     0     4     1     8
  1.0980920359767794E-01 a        84     0     4     1     9
  1.3319173763599962E-01 a        85     0     4     1    10
  5.3775019707703660E-02 a        86     0     4     1    11
  4.2873601888715918E-05 a        87     0     4     1    12
  1.7335303406614058E-01 a        88     0     4     1    13
  2.1946943085715725E-01 a        89     0     4     1    14
 -1.3814833920361841E-01 a        90     0     4     1    15
 -1.2705462039906376E-02 a        91     0     4     1    16
  7.4665444053013771E-02 a        92     0     4     1    17
  8.5934847830469202E-02 a        93     0     4     1    18
  1.8166079979070038E-01 a        94     0     4     1    19
 -1.7226736099514112E-01 a        95     0     4     1    20
 -5.2091834653042839E-02 a        96     0     4     1    21
  5.7510694492959313E-02 a        97     0     4     1    22
  2.7813192688681397E-02 a        98     0     4     1    23
 -1.3898886780307296E-01 a        99     0     4     1    24
 -1.1540599778540317E-01 a       100     0     4     1    25
 -6.2080728614575864E-02 a       101     0     5     1     1
  1.3898644688417258E-01 a       102     0     5     1     2
 -1.2889969612876967E-01 a       103     0     5     1     3
 -3.6086259315722326E-02 a       104     0     5     1     4
 -1.5300845322976886E-01 a       105     0     5     1     5
  1.2566525380107368E-01 a       106     0     5     1     6
 -6.9859332986306759E-04 a       107     0     5     1     7
  3.2885952330105650E-01 a       108     0     5     1     8
  9.3331160524339735E-02 a       109     0     5     1     9
  2.2962618660655690E-01 a       110     0     5     1    10
 -6.8751423936302500E-02 a       111     0     5     1    11
  1.3205947041092081E-01 a       112     0     5     1    12
 -1.3601821815286017E-01 a       113     0     5     1    13
 -2.6164849718514560E-01 a       114     0     5     1    14
 -8.3222709061699929E-02 a       115     0     5     1    15
  3.5526225556072250E-01 a       116     0     5     1    16
  1.4121715988072781E-01 a       117     0     5     1    17
  1.3699752215713221E-01 a       118     0     5     1    18
 -9.8450942295173149E-02 a       119     0     5     1    19
 -2.0709482400913964E-01 a       120     0     5     1    20
 -9.1305887840882380E-02 a       121     0     5     1    21
  2.9462237479454825E-02 a       122     0     5     1    22
 -2.2539255349708293E-01 a       123     0     5     1    23
  1.3144074196407252E-01 a       124     0     5     1    24
  1.2736594208610802E-01 a       125     0     5     1    25
 -7.4900502648711551E-02 a       126     0     6     1     1
  7.7563467361142465E-04 a       127     0     6     1     2
  6.7170509534838135E-02 a       128     0     6     1     3
 -2.4473887598181016E-01 a       129     0     6     1     4
 -1.5229217602045989E-01 a       130     0     6     1     5
 -4.2725014971714867E-02 a       131     0     6     1     6
 -1.0037175236314171E-01 a       132     0     6     1     7
  2.4416424462136804E-02 a       133     0     6     1     8
 -9.1770890552962028E-03 a       134     0     6     1     9
 -3.8547974456638517E-02 a       135     0     6     1    10
 -1.9662900926498268E-02 a       136     0     6     1    11
 -9.2843793867408111E-02 a       137     0     6     1    12
  1.9663869393196029E-01 a       138     0     6     1    13
  5.1222655414496630E-02 a       139     0     6     1    14
  1.9922706289996703E-01 a       140     0     6     1    15
 -3.0686284456673270E-02 a       141     0     6     1    16
  3.1479508627905647E-02 a       142     0     6     1    17
 -1.8173265259983376E-01 a       143     0     6     1    18
 -1.8175372360638431E-01 a       144     0     6     1    19
 -5.7770791540217976E-02 a       145     0     6     1    20
  2.7201809664882148E-01 a       146     0     6     1    21
 -7.5105991122951452E-02 a       147     0     6     1    22
 -1.4049981409999074E-01 a       148     0     6     1    23
 -4.2395929917558896E-02 a       149     0     6     1    24
  2.1708079322362536E-01 a       150     0     6     1    25
 -1.7434938649994802E-01 a       151     0     7     1     1
 -4.0656794108248857E-02 a       152     0     7     1     2
 -4.0010695201547181E-02 a       153     0     7     1     3
 -1.9824678352654343E-01 a       154     0     7     1     4
 -2.4582381489669444E-01 a       155     0     7     1     5
  1.4987569960233171E-01 a       156     0     7     1     6
 -3.8584500221979151E-02 a       157     0     7     1     7
  2.8657840347248342E-01 a       158     0     7     1     8
 -1.8379418287963159E-01 a       159     0     7     1     9
 -6.9884074313663960E-02 a       160     0     7     1    10
 -6.0140239291986322E-02 a       161     0     7     1    11
  1.7553937293865704E-01 a       162     0     7     1    12
  3.3445051407584740E-02 a       163     0     7     1    13
 -1.5611405029546443E-01 a       164     0     7     1    14
 -3.4969264447513901E-02 a       165     0     7     1    15
  5.4298999309165409E-02 a       166     0     7     1    16
 -2.1439528908575972E-01 a       167     0     7     1    17
  5.3900655673249392E-02 a       168     0     7     1    18
  7.7458544393832944E-03 a       169     0     7     1    19
 -4.5743411516127680E-02 a       170     0     7     1    20
 -5.4553637140492432E-02 a       171     0     7     1    21
 -2.7991258856334700E-01 a       172     0     7     1    22
 -1.0368689231455407E-01 a       173     0     7     1    23
 -9.3442695194218897E-02 a       174     0     7     1    24
 -2.8646595277047693E-01 a       175     0     7     1    25
 -1.1667678313874369E-01 a       176     0     8     1     1
  8.0082342593155123E-02 a       177     0     8     1     2
 -1.2519665730119275E-01 a       178     0     8     1     3
 -2.8021877512071991E-01 a       179     0     8     1     4
 -1.1164993339488222E-01 a       180     0     8     1     5
 -2.3725886570174461E-02 a       181     0     8     1     6
 -1.1645895973526220E-01 a       182     0     8     1     7
 -1.7700481557339543E-02 a       183     0     8     1     8
 -2.0433924862518671E-01 a       184     0     8     1     9
 -2.8210941818977936E-01 a       185     0     8     1    10
 -6.6793648253125948E-02 a       186     0     8     1    11
 -4.6698321279877227E-02 a       187     0     8     1    12
 -6.7731881362736404E-02 a       188     0     8     1    13
 -1.2489291615322214E-01 a       189     0     8     1    14
  1.2494643679716259E-02 a       190     0     8     1    15
 -1.8681585700293507E-01 a       191     0     8     1    16
 -1.7958002506793325E-01 a       192     0     8     1    17
  1.4800231807874045E-01 a       193     0     8     1    18
 -1.4671905040794703E-01 a       194     0     8     1    19
 -1.4951074328383190E-01 a       195     0     8     1    20
 -3.0914245931792997E-02 a       196     0     8     1    21
 -8.7713802776671138E-02 a       197     0     8     1    22
  1.1668496334781998E-01 a       198     0     8     1    23
 -1.6030116396605720E-01 a       199     0     8     1    24
 -7.4820876393894703E-02 a       200     0     8     1    25
  1.4713094733902815E-01 a       201     0     9     1     1
  1.0837636502436311E-01 a       202     0     9     1     2
 -3.0493155549676371E-01 a       203     0     9     1     3
 -5.8734869795476805E-02 a       204     0     9     1     4
 -1.2814922458343342E-01 a       205     0     9     1     5
 -1.2451238881443888E-01 a       206     0     9     1     6
 -1.7180792545308202E-01 a       207     0     9     1     7
  1.2933465091885812E-01 a       208     0     9     1     8
  1.8829804883372558E-01 a       209     0     9     1     9
 -2.2041719389758355E-01 a       210     0     9     1    10
  4.6808168987815042E-02 a       211     0     9     1    11
 -9.8299543612675122E-02 a       212     0     9     1    12
  2.3293851546787889E-01 a       213     0     9     1    13
  7.2380503458460671E-02 a       214     0     9     1    14
  3.7686519273970119E-02 a       215     0     9     1    15
 -1.2589807993313845E-01 a       216     0     9     1    16
 -2.7421550263923049E-02 a       217     0     9     1    17
 -2.1157482725082608E-01 a       218     0     9     1    18
 -2.2254487343108731E-01 a       219     0     9     1    19
  1.4586724466925444E-01 a       220     0     9     1    20
  3.6507308826156180E-02 a       221     0     9     1    21
 -1.1543883171124038E-01 a       222     0     9     1    22
  1.9820716396496321E-01 a       223     0     9     1    23
  1.4682423402708356E-01 a       224     0     9     1    24
 -2.0041040357591572E-01 a       225     0     9     1    25
 -1.2352013002270067E-01 a       226     0    10     1     1
  1.6884830153318120E-01 a       227     0    10     1     2
 -6.3802816210934518E-02 a       228     0    10     1     3
  9.3853586617347468E-02 a       229     0    10     1     4
  1.4584982752778905E-01 a       230     0    10     1     5
 -8.4077171710427556E-02 a       231     0    10     1     6
  8.6502616949368435E-02 a       232     0    10     1     7
 -1.0574315860264966E-01 a       233     0    10     1     8
  1.6778242668263568E-01 a       234     0    10     1     9
 -3.8580051788445334E-02 a       235     0    10     1    10
  1.4132176872327159E-03 a       236     0    10     1    11
